к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах 2ЭС6;;;
;;;
N;Неисправность;Возможная причина;Способ устранения
Высоковольтные цепи;;;
1;При поднятом токоприемнике снимается напряжение в контактной сети, возможно с появлением вспышек, дыма, искр характерных для короткого замыкания в местах расположения крышевого оборудования.;"Возможные места возникновения короткого замыкания крышевого оборудования:
- пробой опорных изоляторов токоприемника и помехоподавляющего дросселя;
- пробой опорного изолятора подвижного ножевого контакта разъединителя;
- повреждение ограничителя перенапряжений;
- излом токоприемника с касанием его элементов заземленных частей крыши электровоза;";"Опустить токоприемник и отключить БВ QF1. На аварийной секции в шкафу МПСУ и Д отключить тумблер SA1 ""Токоприемник"" в положении ""выключено"" и перекрыть кран на магистрали к клапану токоприемника КЭП1. В случае излома токоприемника выполнить все мероприятия согласно действующим инструкциям ОАО РЖД по приведению токоприемника в нерабочее положение.
Дальнейшее следование осуществлять на исправных токоприемниках."
;Повреждение элементов токоприемника без существенных последствий.;Повреждение полоза, рамы и тяг токоприемника без нарушения геометрии.;"Опустить токоприемник и отключить БВ QF1. На аварийной секции в шкафу МПСУ и Д отключить тумблер SA1 ""Токоприемник"" в положении ""выключено"" и перекрыть кран на магистрали к клапану токоприемника КЭП1.
Дальнейшее следование осуществлять на исправных токоприемниках."
2;При включении БВ происходит его отключение в одной из секций, возможно, со снятием напряжения в контактной сети.;"Короткое замыкание в цепи от подвижного контакта БВ до РДФ1 или РДФ2;";"В шкафу МПСУ и Д отключить БВ неисправной секции тумблером SA2. В кабине управления отключить двигатели неисправной секции переключателями SA28 или SA29.
Следовать на исправных секциях с использованием всех соединений ТЭД с применением последовательного или независимого возбуждения."
;При включении БВ происходит его отключение в одной из секций, со срабатыванием дифференциального реле РДФ1 (КА1).;Пробой изоляции провода 006 от РДФ1 до контакторов К1 и К2, повреждение элементов подвижного контакта реостатных контакторов К1, К2.;"В шкафу МПСУ и Д отключить БВ неисправной секции тумблером SA2. В кабине управления отключить двигатели неисправной секции переключателями SA28 или SA29.
Следовать исправными секциями с использованием всех соединений ТЭД с применением последовательного или независимого возбуждения."
;При включении БВ происходит его отключение в одной из секций, со срабатыванием РДФ2 (КА2).;Пробой изоляции провода 800 от РДФ2 до контактора КМ1;"В шкафу МПСУ и Д отключить БВ неисправной секции выключателем SA2. В кабине управления отключить двигатели неисправной секции переключателями SA28 или SA29.
Следовать на исправных секциях с использованием всех соединений ТЭД с применением последовательного или независимого возбуждения."
3;При включении БВ происходит его отключение в одной из секций, возможно, со снятием напряжения в контактной сети.;"Короткое замыкание в цепи от подвижного контакта БВ до РДФ1 или РДФ2;";"В шкафу МПСУ и Д отключить БВ неисправной секции тумблером SA2. В кабине управления отключить двигатели неисправной секции переключателями SA28 или SA29.
Следовать на исправных секциях с использованием всех соединений ТЭД с применением последовательного или независимого возбуждения."
4;При включении БВ происходит его отключение в одной из секций, со срабатыванием дифференциального реле РДФ1 (КА1).;Пробой изоляции провода 006 от РДФ1 до контакторов К1 и К2, повреждение элементов подвижного контакта реостатных контакторов К1, К2.;"В шкафу МПСУ и Д отключить БВ неисправной секции тумблером SA2. В кабине управления отключить двигатели неисправной секции переключателями SA28 или SA29.
Следовать исправными секциями с использованием всех соединений ТЭД с применением последовательного или независимого возбуждения."
Примечание - для предотвращения последствий короткого замыкания и сохранности оборудования электровоза запрещается включать быстродействующий выключатель, при наличии короткого замыкания в силовой цепи, более двух раз, после чего нужно выявить и устранить неисправность.;;;
5;"При следовании в режиме тяги происходит отключение БВ одной из секций со срабатыванием дифференциального реле КА1, возможно с появлением дыма, вспышки в зоне расположения реостатных и линейных контакторов на первом и втором блоках -
аппаратов.";"Наличие короткого замыкания в следующем оборудовании электровоза:
-силовые диоды VD3- VD5 и VD6- VD8;
- двигатели охлаждения ПТР М11 или М12;
- контакторы К5, К6, К7, К8, подключения двигателей охлаждения ПТР;
- элементы пусковых сопротивлений R3 или R4;
- реостатные контакторы К2, К21, К22, К23 включенные на первой позиции;
- тяговые двигатели М1, М2, М3, М4;
- линейные контактора К27, К29, К30, К31, К32, К34, К36, К39, К40;
- быстродействующие контакторы К41, К42;
- силовые переходные диоды VD9- VD17 и; VD17- VD26;
- составляющие элементы преобразователя СТПР 1000 А7, А8, А12, А13;
- межсекционные соединения.";"Для определения участка или места короткого замыкания необходимо тумблер SA32 поставить в положение ""прицепная"" и собрать схему первой позиции.
Если БВ не отключит, то короткое замыкание в следующем оборудовании головной секции:
- двигатели охлаждения ПТР М11 или М12;
- контакторы К5, К6, К7, К8, подключения двигателей охлаждения ПТР;
- элементы пусковых сопротивлений R3 или R4;
- реостатные контакторы К2, К21, К22, К23 включенные на первой позиции;
Выход из положения:
При взятии поезда с места и последующего разгона необходимо тумблер SA32 оставить в положение ""прицепная"". Следование электровоза осуществляется на двух секциях, только на последовательном соединении ТЭД с использованием последовательного или независимого возбуждения. При необходимости перехода на более высшее соединение ТЭД ""СП"" или ""П"" необходимо перед сбором первой позиции выключить переключателем SA28 двигатели головной секции электровоза и продолжить движение на исправных секциях с использованием всех соединений ТЭД в режиме независимого или последовательного возбуждения.
Если после перевода тумблера SA32 в положение ""прицепная"" и постановке 1 позиции отключит БВ прицепной секции, то короткое замыкание в следующем оборудовании головной секции:
- тяговые двигатели М1, М2, М3, М4;
- линейные контактора К27, К29, К30, К31, К32, К34, К36, К39, К40;
- быстродействующие контакторы К41, К42;
- межсекционные соединения.
Выход из положения:
В кабине управления переключателем SA28 определить неисправную пару (после отключения которой не будет срабатывания защиты). Дальнейшее следование:
С соединение-6-10 двигателей;
СП соединение двигатели прицепных секции;
П соединение-6-10 двигателей."
