к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах серии 2ЭС7;;;
;;;
"N
п/п";"Неисправность
(Сообщение МПСУиД)";Вероятная причина;Метод устранения
Токоприёмники, разъединители, заземлители;;;
1;"Переключение ВЦУ при включенном переключателе ""Токоприемник""";Заблокирована кнопка ТКП;"Проверить выключенное положение ВЦУ во второй кабине.
Переключатель соответствующего токоприемника установить в положение ""Заземлитель"", а затем в положение ""Токоприемник""."
2;"Сообщение выводится:
- ГВ выключен,
- переключатели токоприемников установлены в положение ""Заземлитель;
- в МПСУиД приходит сигнал о наличии напряжения контактной сети больше 750В.";Не включаются заземлители Uks > 750В;"Визуально убедиться в положении токоприемника.
1. Если токоприемник поднят (постороннее питание на вентиле токоприемника) то для снятия постороннего напряжения с вентиля токоприемника отключить тумблер SA41 в ШНА.
2. Если токоприемник опущен, то в МПСУиД приходит сигнал о наличии напряжения контактной сети (Т3 или БУЭ).
Следовать обычным порядком до ПТО, где неисправность должна быть устранена. При отключении тумблера SA41 использовать токоприемники других секций."
3;"Сообщение выводится:
- ГВ выключен,
- переключатели токоприемников установлены в положение ""Заземлитель"";
- в МПСУиД приходит сигнал по проводу 335 (QS1 соединен)";Не включаются заземлители - нет сигнала выкл. разъединителя секции 1 (2);На соответствующей секции отключить разъединитель вручную (перевести в положение заземлен). В МПСУиД выводится сигнал по проводу 358 (QS1 заземлен)
4;Требование на перевод QS1 в положение заземлен при включенном ГВ.;Не включаются заземлители - не выключен ГВ.;Выключить ГВ.
5;Не прошла команда по проводу 340 на отключение разъединителя QS1.;Не включаются заземлители - нет команды выключения разъединителей.;Вручную отключить разъединители и включить заземлители.
6;Под питанием промежуточное реле KL8 на одной из секций (провод 334).;Не выключаются заземлители - не закрыты ШВА, люк электровоза на секции1 (2).;Проверить закрытие дверей (ШВА, ШБВ, ППЦУ, ТП), люк выхода на крышу. Повторно выключить заземлитель переключателем SA8 или SA 9.
7;ГВ включен.;Не выключаются заземлители - не выключен ГВ.;Выключить ГВ. На всех секциях проверить включенное положение ключевых запоров SA38 или SA39. Электровоз запустить обычным порядком.
8;Нет сигнала по проводу 388.;Не включаются разъединители - нет сигнала выключения заземлителей секции 1 (2);На секции, по которой пришло сообщение, вручную перевести QS2 из положения заземлен.
9;Поступление сигнала по проводу 341 (ГВ включен).;Не включаются разъединители - не выключен ГВ.;Выключить ГВ. На всех секциях проверить включенное положение ключевых запоров SA38 или SA39. Электровоз запустить обычным порядком.
