к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах серии 2ЭС10;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения
Высоковольтные цепи;;;
1;При поднятии одной из пары токоприемников снимается напряжение в контактной сети. После поднятия другой пары напряжение в контактной сети не снимается.;Короткое замыкание элементов крышевого оборудования.;"Дальнейшее следование осуществлять на исправной паре токоприемников выбор переключателем на пульте. Для исключения случаев поднятия неисправного токоприемника в ШНА переключатель SA1 или SA2 неисправного токоприемника установить в положение ""Откл""."
2;При поднятии любой пары токоприемников снимается напряжение в контактной сети возможно с появлением вспышек, дыма, искр характерных для короткого замыкания в местах расположения крышевого оборудования.;Короткое замыкание в конденсаторах помехоподавляющего фильтра С1, С2.;После отсоединения конденсаторов С1, С2 от входной шины 003 БВ (в ШБВ, на обеих секциях) напряжение в контактной сети не снимается дальнейшее следование осуществляется установленным порядком.
;;Обрыв межсекционного крышевого соединения с касанием элементов кузова.;После снятия напряжения в контактной сети и удаления межсекционного крышевого соединения следовать обычным порядком.
;;Повреждение следующих элементов крышевого оборудования (пробой опорного изолятора неподвижного ножевого контакта заземлителя QS3, пробой опорных изоляторов крышевых токоведущих шин одной из секции, пробой проходного изолятора, пробой опорных изоляторов токоведущей шины к БВ).;"Если позволяет вес поезда, после снятия напряжения в контактной сети разъединить крышевое межсекционное соединение, на неисправной секции в ШНА переключатели токоприемника SA1 и SA2 установить в положение ""Откл"", дальнейшее следование на исправной секции. Если весовые нормы не позволяют заказать вспомогательный локомотив."
;;Повреждение элементов токоприемника без существенных последствий.;"Опустить токоприемник XA1 (ХА2). На аварийной секции в ШНА выключить тумблер SA1 (SA2) ""токоприемник"". Дальнейшее следование осуществлять на исправных токоприемниках."
;;Излом токоприемника с касанием его элементов заземленных частей крыши электровоза.;"После снятия напряжения в контактной сети и увязки токоприемника в ШНА переключатель неисправного токоприемника SA1 или SA2 установить в положение ""Откл"", дальнейшее следование на исправной паре токоприемников."
3;При включении БВ происходит его отключение в одной из секций, возможно, со снятием напряжения в контактной сети.;Снижение изоляционных свойств элементов БВ, пробой силового кабеля от ШБВ до ТП.;"Необходимо в ШНА неисправной секции переключатель SA3 (БВ) установить в положение ""Откл"", дальнейшее следование на одной исправной секции."
;;Повреждение ограничителя перенапряжений FV2 на одной из секций.;В ШБВ отсоединить ограничитель перенапряжений FV2 от выходной шины БВ. Дальнейшее следование осуществляется без ограничителя перенапряжений.
;;Короткое замыкание в конденсаторе С3.;"В шкафу БВ отсоединить конденсатор С3. Дальнейшее следование осуществляется без конденсатора С3. Если после отключения конденсатора или ограничителя перенапряжений происходит отключение БВ необходимо в ШНА неисправной секции переключатель SA3 (БВ) установить в положение ""Откл"", дальнейшее следование на одной исправной секции, если позволяют весовые нормы."
