к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах ВЛ10, ВЛ10У;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения неисправности
Цепи токоприемников;;;
1;При снятии напряжения в контактной сети;Короткое замыкание или обрыв в силовой цепи токоприемников;"Если видимых или звуковых признаков короткого замыкания на крыше электровоза и в высоковольтных камерах не обнаружено, не опуская токоприемника в течение 1 минуты, внимательно наблюдать за стрелкой киловольтметра, предварительно убедившись, что токоприемник поднят.
В движении обесточить силовые и вспомогательные цепи локомотива (путем отключения кнопок на пульте машиниста), произвести опускание токоприемников, включить кнопку ""Токоприемники"" и ""БВ-1"", собрать схему первой позиции и контролировать отклонение стрелки киловольтметра. Наличие отклонения стрелки киловольтметра указывает на отсутствие КЗ в крышевом оборудовании локомотива.
1. В движении при скорости не более 70 км/час при одиночной тяге, при скорости движения до 40 км/ч при двойной тяге, при скорости движения до 30 км/ч при сильном ветре и автоколебаниях (пляске) контактных проводов поднять второй токоприемник, если напряжение по киловольтметру появится, следовать на исправном токоприёмнике, опустив не исправный.
2. Кратковременное появление напряжения по вольтметру свидетельствует о наличии короткого замыкания на данном или другом электровозе, находящемся в одной с ним зоне питания. По команде ДСП опустить токоприемники и остановить поезд на благоприятном профиле.
Крышевыми разъединителями 47-1,47-2 отключить токоприемники. По команде ДСП поднять токоприемник N 1, а затем токоприемник N 2.
2.1. При снятии напряжения в контактной сети после подъема токоприемника N 1 включить крышевой разъединитель 47-2 и на пневматической панели трёхходовым краном N 195 перекрыть доступ воздуха к вентилю клапана токоприемника N 1. Следовать на исправном токоприемнике.
2.2. При снятии напряжения в контактной сети после подъема токоприемника N 2 включить крышевой разъединитель 47-1 и на пневматической панели трёхходовым краном N 195 перекрыть доступ воздуха к вентилю клапана токоприемника N 2. Следовать на исправном токоприемнике."
2;"Сгорает предохранитель цепи токоприемников после включения кнопки ""токоприемники"" ""токоприемник N 1"" ""токоприемник N 2""";Короткое замыкание в проводе Н104 или Н105;"Выключить кнопку неисправного ""токоприемника"" на щитке параллельной работы в кузове N 1 под клеммной рейкой, следовать на исправном токоприёмнике."
3;При выключении рубильника АБ перегорает вставка АБ (на ПУ-037);Короткое замыкание внутри батареи;"Для электровозов ВЛ-10, ВЛ-10у с БВЗ-2
1. Выключить рубильник аккумуляторной батареи;
2. Развернуть ПШ в положение ""низкая скорость"" вручную;
3. Включить вручную БВЗ-2 и контактор 42-2;
4. Включить три кнопки токоприемников;
5. Потянуть за поводок вентиля 205 и закрепить его;
6. Нажать на грибок клапана токоприемника и после его подъема включить кнопку ""низкая скорость вентиляторов"", БВ-1 и компрессоры включить обычным порядком."
Вспомогательные машины;;;
4;"При включении кнопок ""компрессоры"" просадка напряжения в цепи управления (возможно отключение КВЦ, БВ-1, перегорание низковольтного предохранителя ""вспомогательные машины"")";К.З. в проводах К69, К79, Н2 или Н154;"1.Выключить кнопки ""компрессор"" N 1 и N 2 на щитке параллельной работы, заменить перегоревший предохранитель, включить кнопку ""компрессора"" на пульте машиниста, если предохранитель не перегорает, то К. З в проводах К79 или Н154.
2. При К.З. в К79 отключить на щитке параллельной работы компрессор N 2, или в Н154 компрессор N 1.
Если перегорание произошло при выключенном РД, то КЗ в проводе К69.
При КЗ в проводах К-69 или Н-2:
а) кнопку ""компрессоры"" на пульте машиниста не включать,
б) на щитке параллельной работы выключить кнопки ""компрессор"" N 1 и N 2,
в) на щитке параллельной работы объединить провода Н-2 и К-154
(шунты подвижных контактов)
г) на ЦКР объединить провода К-87 (освещение ходовых частей) и К-79.
Работой компрессоров управлять тумблером ""освещение ходовых частей"" по манометру ГР."
5;Не работают все вспомогательные машины. КВЦ включен. Тяговый ток есть;Перегорание высоковольтных предохранителей;Заменить высоковольтные предохранители.
6;"При включении кнопки ""компрессоры"" отключает БВЗ-2.";Короткое замыкание в цепи двигателей компрессоров.;"1. Неисправный компрессор выключить на щитке параллельной работы, и езду осуществлять на одном исправном компрессоре.
2. Регулятор давления отрегулировать на включение при давлении 8 - 8,5 кг/см2."
7;"При включении кнопки ""вентиляторы"" отключает БВЗ-2.";Короткое замыкание в цепи двигателей вентиляторов.;"1. Включить вентиляторы на высокую скорость, при повторном отключении следовать до ближайшей станции на А.Б.
2. На станции прозвонить вентиляторы. Для этого одному из контакторов не дать включиться. Включить вентиляторы на высокую скорость, в случаи отключения БВЗ-2, не дать включиться другому, а первый перевести в рабочее состояние."
Цепи управления (ПУ-014);;;
8;Резко повышается напряжение в цепи управления в момент включения вентиляторов.;Неисправность силовых губок контактора 127-2 в проводах К51-Н80.;Необходимо осмотреть контактор или объединить два левых вруба трехполюсного рубильника.
9;Сгорает вставка аккумуляторной батареи после включения вентиляторов и подключения РОТ.;Большой зарядный ток из-за глубокой разрядки аккумуляторной батарее, завышенного напряжения генераторов управления.;Регулировкой СРН установить нормальное напряжение. Зачистить угольные контакты СРН. Если вставки АБ продолжают гореть действовать как без АБ.
10;Реле обратного тока не подключается;Перегорание плавких вставок якоря или возбуждения ГУ1, неисправность шунтовой катушки.;"Необходимо включить высокую скорость вентиляторов, проверить на зажимах генераторов напряжение с помощью переключателя вольтметров.
При отсутствии напряжения на зажимах одного из генераторов проверить исправность предохранителей якорного и возбуждения неисправные заменить.
При обнаружении неисправности в цепи якоря или возбуждения генератора N 1 переключить трёхполюсный рубильник в нижнее положение на генератор N 2."
11;Отсутствие напряжения на аккумуляторной батареи.;Перегорание предохранителей;Заменить перегоревшие предохранители.
Цепи управления (ПУ-037);;;
12;Низкое напряжение одного ГУ;Снижение напряжения стабилизации стабилитрона Д1, вследствие чего транзистор Т1 открывается, а транзистор Т2 БРН запирается при пониженных напряжениях ГУ.;Необходимо цепь неисправного генератора отключить рубильником ГУ, по прибытии на ПТОЛ произвести смену БРН.
13;Один из ГУ не вырабатывает напряжение.;Перегорание предохранителя (якоря или возбуждения).;Перегоревшие предохранители заменить.
14;Высокое напряжение ГУ.;Неисправность БРН.;Рубильник неисправного генератора выключить.
15;При включении рубильника АБ и включенных рубильниках ГУ1 и ГУ2 горит предохранитель АБ 494-2.;Пробой одного из ди- одов Д5-Д6 (Д9-Д10) без разрыва электри- ческой цепи.;Поставить рубильники ГУ1 и ГУ2 в среднее положение, заменить предохранитель АБ, включить рубильник АБ, включить вентиляторы, после чего включить рубильники ГУ1 и ГУ2.
16;Большой зарядный ток (до 50 а);Обрыв цепи в блоке обратной связи.;Необходимо рубильник ГУ2 выключить в среднее положение и включить высокую скорость вентиляторов.
