к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах ВЛ11 и ВЛ11М;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения
Крышевое оборудование;;;
1;Снятие напряжения с контактной сети из-за срабатывания подстанционной защиты (без срабатывания защиты на электровозе).;Повреждение опорных изоляторов токоприемника, дросселя L1, конденсатора С1, разрядника Рр1.;"В движении обесточить силовые и вспомогательные цепи локомотива (путем отключения кнопок на пульте машиниста), произвести опускание токоприемников, включить кнопку ""Токоприемники"" и ""БВ-1"", собрать схему первой позиции и контролировать отклонение стрелки киловольтметра. Наличие отклонения стрелки киловольтметра указывает на отсутствие КЗ в крышевом оборудовании локомотива.
Для отыскания неисправной секции поочередно отключить крышевые разъединители Рз1. После обнаружения неисправной секции, крышевой разъединитель оставить в отключенном положении, выключить кнопку ""Токоприемник"" на ЩПР. Следовать на исправном токоприемнике."
2;Снятие напряжения с контактной сети из-за срабатывания подстанционной защиты без срабатывания защиты на электровозе.;Повреждение или излом токоприемника.;"На секции с неисправным токоприемником отключить крышевой разъединитель Рз1 и выключить кнопку ""Токоприемник"" на ЩПР. Следовать на исправном токоприемнике."
Цепи токоприемников;;;
3;"При включенной кнопке ""Токоприемники"" нет выхода штоков пневматических блокировок ПБЛ1 и ПБЛ2.";"Отсутствие или недостаточное давление сжатого воздуха в цепи управления, нет низковольтной цепи питания кнопки ""Токоприемники"".";"1. Проверить величину давления сжатого воздуха (не менее 3,5 кгс/см2) по манометру МН6 на пульте помощника машиниста, при необходимости увеличить давление воздуха вспомогательным компрессором КМ2.
2. Установить главную рукоятку КМЭ на нулевую позицию.
3. Проверить включенное положение автомата В6 на пульте помощника машиниста в кабине, из которой производится управление.
4. Проверить положение ножа Рз3 в каждой секции (должен находиться в нижнем положении).
5. Проверить закрытое положение дверей и сеток ВВК и люка подъема на крышу в каждой секции.
6. Потянуть поводок вентиля защиты КпЗщ13 на секции где блокировки не вышли и держать его в этом положении до момента касания токоприемника с контактным проводом.
7. При недостаточном количестве воздуха в цепях управления, необходимо произвести подъем токоприемника одной секцией (в которой находится вспомогательный компрессор) для этого:
а) на ЦКР соединить провода Э419, Э420
б) перекрыть КН9
в) на данной секции открыть краны КН20 (ВЛ11) или КН23 (ВЛ11м).
г) поднять токоприемник секции, включить БВ, МК и при давлении в ГР более 5 кгс/см2 перевести краны в исходное положение.
Проверить правильность закрытия дверей ВВК и крышевого люка. Для запитывания вентиля переднего токоприемника использовать тумблер ""Освещение ходовых частей"" и на ЦКР передней секции соединить 904 (9-24) - 431(7-5)."
4;"При включенной кнопке ""Токоприемники"" нет выхода штоков пневматических блокировок ПБЛ1 и ПБЛ2.";"Нарушение контакта кнопки ""Токоприемники""";"В задней кабине включить кнопку ""Токоприемники"", управление производить кнопками ""Токоприемник 1"" или ""Токоприемник 2"" в головной кабине."
5;"При включении кнопки ""Токоприемник 1"", ""Токоприемник 2"" или ""Токоприемник 3"", один из токоприемников не поднимается.";"Перекрыт разобщительный кран к клапану токоприемника, выключена кнопка ""Токоприемник"" на ЩПР. Обрыв в проводах.";"Открыть разобщительный кран к клапану токоприемника.
Включить кнопку ""Токоприемник"" на ЩПР.
Для запитывания вентиля переднего токоприемника использовать тумблер ""Освещение ходовых частей"" и на ЦКР передней секции соединить 904 (9-24) - 431(7-5)."
6;"При включении кнопки ""Токоприемник 1"" или ""Токоприемник 2"" отключается автомат В6 на пульте помощника машиниста.";Короткое замыкание в цепи провода Э421 или Э422.;Кнопку токоприемника не включать, следовать на исправном токоприемнике.
Быстродействующий выключатель.;;;
7;"На кнопочном выключателе пульта машиниста кнопка ""БВ"" включена. При включении кнопки ""Возврат БВ"", БВ не включается.";Не включен ВУ20 или неисправность его предохранителя.;"Включить ВУ20 и проверить исправность его предохранителя (нажатием ножной педали КН2 по срабатыванию клапана КЭП9 отпуск тормозов на локомотиве) или кнопкой ""Песок"""
