к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей в пути следования на электровозах ВЛ11К;;;
;;;
N;Признаки неисправности;Вероятная причина;Метод устранения
Высоковольтные цепи;;;
1;При поднятии токоприемника снимается напряжение в контактной сети, возможно с появлением вспышек, дыма, искр характерных для короткого замыкания в местах расположения крышевого оборудования.;"Возможные места возникновения короткого замыкания крышевого оборудования:
- пробой опорных изоляторов токоприемника и помехоподавляющего дросселя;
- повреждение ограничителя перенапряжений;
- излом токоприемника с касанием его элементов заземленных частей крыши электровоза;";"Опустить токоприемник и отключить кнопку ""БВ"" QS1. На аварийной секции в шкафу N 4 установить тумблер SA1 ""Токоприемник"" в положении ""выключено"" и перекрыть кран на магистрали к клапану токоприемника, КЭП1. В случае излома токоприемника выполнить все мероприятия согласно действующим инструкциям ОАО ""РЖД"" по приведению токоприемника в нерабочее положение. Дальнейшее следование осуществлять на исправных токоприемниках."
;;"Повреждение следующих элементов крышевого оборудования:
- пробой опорного изолятора неподвижного ножевого контакта заземлителя;
- пробой опорных изоляторов крышевых токоведущих шин одной из секции;
-главного ввода в секцию локомотива";Заказать вспомогательный локомотив.
;;При обрыве высоковольтного, межсекционного шунта.;"При замыкание на корпус электровоза, опустить токоприемник на неисправной секции, На аварийных секциях в шкафу N 4 установить тумблер SA1 ""Токоприемник"" в положении ""выключено"", перекрыть кран на магистрали к клапану токоприемника, следовать с поднятыми токоприемниками исправными секциями."
2;Повреждение элементов токоприемника без существенных последствий.;Повреждение полоза, рамы и тяг токоприемника без нарушения геометрии.;"Опустить токоприемник. На аварийной секции в шкафу N 4 отключить тумблер SA1 ""Токоприемник"" в положении ""выключено"", перекрыть кран на магистрали к клапану токоприемника. Дальнейшее следование осуществлять на исправном токоприемнике."
3;При включении БВ происходит его отключение в одной из секций.;Короткое замыкание в БВ или цепи от БВ до РДФ-1 или РДФ-2.;"В шкафу N 4, отключить БВ неисправной секции тумблером SA2 (БВ). В кабине управления отключить двигатели неисправной секции переключателями SA28-SA31.
Следовать на исправных секциях."
4;"При включении БВ происходит его отключение в одной из секций, со срабатыванием дифференциаль-
ного реле КА1.";Пробой изоляции кабеля 009, запирающих диодов VD1-VD3, VD4-VD6, повреждение элементов подвижного контакта реостатных контакторов К1, К9.;"В шкафу N 4 отключить БВ неисправной секции тумблером SA2 ""БВ"". В кабине управления отключить двигатели неисправной секции переключателями SA28-SA31.Следовать на исправных секциях."
5;При включении БВ происходит его отключение в одной из секций, со срабатыванием дифференциального реле КА2.;Пробой изоляции кабеля 100 от РДФ-2 до контактора КМ1, КМ3, КМ5, КМ7, КМ8.;"В шкафу N 4 отключить БВ неисправной секции выключателем SA2 ""БВ"". В кабине управления отключить двигатели неисправной секции переключателями SA28-SA31 .Следовать на исправных секциях."
Примечание - для уменьшения последствий и сохранности оборудования электровоза запрещается включать быстродействующий выключатель, при наличии короткого замыкания до проверки силовой цепи, более двух раз, после чего нужно выявить и устранить неисправность.;;;
6;При следовании в режиме тяги происходит отключение БВ на головной секции со срабатыванием дифференциального реле КА1с появлением дыма, вспышки в зоне расположения реостатных и линейных контакторов на первом и втором блоках аппаратов.;"Наличие короткого замыкания в следующем оборудовании электровоза:
- элементы пусковых сопротивлений R3 или R4;
- реостатные контакторы;";"Для определения участка или места короткого замыкания необходимо тумблер ориентации секций SA32 поставить в положение ""прицепная"" и собрать схему первой позиции. Если БВ не отключит, то короткое замыкание в следующем оборудовании головной секции:
- элементы пусковых сопротивлений R3 или R4;
- реостатные контактора;
Выход из положения:
при взятии поезда с места и последующего разгона необходимо тумблер ориентации секций оставить в положение ""прицепная"". Следование электровоза осуществляется на двух или трех (в зависимости от секционности электровоза) секциях, только на ""С""- соединении ТЭД. При необходимости перехода на более высшее соединение ТЭД ""СП"" или ""П"" необходимо перед сбором первой позиции выключить переключателем SA28 двигатели головной секции электровоза и продолжить движение на одной или двух секциях (в зависимости от секционности электровоза) с использованием""СП"" или ""П"" соединений ТЭД.
Если после перевода тумблера ориентации секций SA32 в положение ""прицепная"" и постановке 1 позиции отключит БВ прицепной секции, то короткое замыкание в следующем оборудовании головной секции:
- тяговые двигатели М1, М2, М3, М4;
- линейные контактора;
- быстродействующие контакторы К43, К44;
- межсекционные соединения.
Выход из положения:
в кабине управления переключателями SA28 определить неисправную пару (после отключения, которой не будет срабатывания защиты). Дальнейшее следование:
С соединение-6 или 10 двигателей; (в зависимости от секционности электровоза)
СП соединение- 4 или 8 двигателей (в зависимости от секционности электровоза)
П соединение-6 или10 двигателей. (в зависимости от секционности электровоза)
Если после отключения секции переключателем SA28 отключения ТЭД отключает БВ прицепной секции, то короткое замыкание в межсекционных высоковольтных розетках головной секции, заказать вспомогательный локомотив."
Повреждение линейных контакторов;;;
7;В режиме тяги или торможения отключает БВ со срабатыванием дифференциального реле КА1 на одной из секций с появлением дыма, вспышек в зоне расположения линейных контакторов на блоках - аппаратов 1 или 2.;"Наличие короткого замыкания в следующем оборудовании электровоза:
-силовые диоды VD1- VD3 и VD4- VD6;
- реостатные контакторы
- тяговые двигатели М1, М2, М3, М4;
- линейные контактора;
- быстродействующие контакторы К43, К44;
- силовые переходные диоды VD7- VD15 и VD16- VD24.";"Переключателем ориентации секций SA32, отключить пусковые сопротивления секции, где произошло отключение. Осмотреть состояние контакторов и шин на блоках аппаратов 1 и 2. Если следов повреждения нет, то в кабине управления переключателем SA28 отключить двигатели 1 и 2, собрать первую позицию, проконтролировав из машинного отделения работу аппаратов на блоках 1 и 2. Если защита сработает, короткое замыкание в цепи 3 и 4 двигателей.
Выход из положения:
отключить переключателем SA28 двигатели 3 и 4. Дальнейшее следование:
""С"" - соединение-6 или 10 двигателей (в зависимости от секционности электровоза);
""СП"" - соединение двигатели исправных секций (в зависимости от секционности электровоза);
П соединение-6 или 10 двигателей(в зависимости от секционности электровоза).
Если при отключении двигателей 1 и 2 защита не сработает, то короткое замыкании в цепи 1 и 2 двигателей.
Выход из положения:
двигатели 1 и 2 не включать, продолжить движение с использованием всех соединениях ТЭД."
Повреждение силовых диодов;;;
8;В процессе движения при сборе первой позиции большое значение тока якоря, а при трогании с места или малой скорости движения срабатывание БВ по току уставки.;"- сбой в программном обеспечении;
-залипание реостатных контакторов;
-пробой силовых диодов VD1- VD3 и VD4- VD6..";"Проверить порядок включения контакторов на секции, где происходят недопустимые броски тока. Если нарушений нет перевести переключатель ориентации секций SA32 в положение включения пусковых сопротивлений на секции где наблюдаются броски ток и собрать схему первой позиции. Если наблюдается недопустимый бросок тока на первой позиции- неисправны диоды VD1- VD3 и VD4- VD6.
Выход из положения: Переключателем ориентации секций SA32 перевести неисправную секцию в ""прицепную"", отключить переключателем SA28 двигатели неисправной секции и следовать исправными секциями на ""СП""-соединении ТЭД."
9;Недопустимые броски тока при переходе с одного соединения двигателей на другое, с отключением защиты через дифференциальное реле КА1.;Пробой силовых диодов VD7 - VD15 и VD16 - VD24.;На секции, где наблюдаются броски тока отключить переключателем SA28 ТЭД. Далее следовать на исправных секциях.
Обрыв в высоковольтных цепях электровоза;;;
10;При поднятом токоприемнике отсутствует индикация на мониторе МСУЛ и БИ МСУЛ величины напряжения в контактной сети. При поднятии второго токоприемника индикация на мониторе величины напряжения контактной сети отображается.;"Обрыв в цепи от токоприемника до шины 003.
Отсутствие контакта у крышевого разъединителя QS1.";"В машинном отделении по рычагам привода проконтролировать включенное положение разъединителя. На аварийной секции в шкафу N 4 отключить тумблер SA1 ""Токоприемник"" дальнейшее следование на токоприемнике, с которого поступает индикация на монитор."
11;. При наличии напряжения в контактной сети, включенном БВ и вспомогательных машинах, не работают двигатели вспомогательных машин.;"- обрыв: в катушке дифференциального реле КА2;
- обрыв: сопротивления R21 или R23, не включение контакторов КМ1, КМ3;
-обрыв в кабелях 100, 101, 107.";"По монитору в кабине управления проверить наличие выдачи команды на включение КМ1 и КМ3, в ВВК на блоке аппаратов N 3 проверить замыкание контакторов КМ1 и КМ3. Если обрыв не обнаружен в шкафу N;4 переключателем ""МВ"" и ""МК"" отключить МВ и МК неисправной секции, отключить переключателем SA28 ТЭД. Дальнейшее следование на исправных секциях."
12;При наличии напряжения в контактной сети, включенных БВ, работающих вспомогательных машинах отсутствует ток в силовой цепи на 1 позиции, по монитору МСУЛ и БИ МСУЛ проходит набор позиций.;Обрыв в цепи R3 или R4 и ТЭД;"Проконтролировать в кабине управления включение линейных и реостатных контакторов согласно развертке, тумблер ориентации секций SA32 поставить в положение ""прицепная"". Собрать схему первой позиции. Если ток якоря появился, то обрыв в ПТР секции или реостатных контакторах. Следовать на ""С""-соединении ТЭД. При необходимости перехода на ""СП""-соединение ТЭД, переключателем SA28 отключить ТЭД неисправной секции.
Если после переключения ориентации секций и набора позиций ток якоря не появился:
1) переключателем SA28 отключить двигатели 1,2 и дать первую позицию, при появлении тока обрыв в линейных контакторах К27 или К29.
2) переключателем SA28 отключить двигатели 3,4 и дать первую позицию, при появлении тока обрыв в линейных контакторах К29 или К34.
Дальнейшее следование на исправных секциях."
Обрыв цепей управления или не включение аппаратов в них;;;
Примечание - включение АЗВ МСУЛ SF13 и SF14 производится в выключенном положении ключа ВУ;;;
Цепи токоприемников.;;;
Примечание: при включении приводов аппаратов по монитору в кабине управления проверить прохождение сигналов на включение приводов аппаратов. Если сигналы не проходят необходимо произвести перезагрузку МСУЛ, если неисправность не устранилась, заказать вспомогательный локомотив.;;;
13;Токоприемники не поднимаются;"- не замкнулась блокировка ВУП1 (давление воздуха в цепях управления ниже 0,35МПа)
- нарушена цепь блокировок ВВК и крышевого люка;
- разъединитель Q1 для ввода под низким напряжением находится в положении НН.
- тумблер SA1 ""Токоприемник"" выключен;";"Проверить давление воздуха в магистрали цепей управления (показания на манометре в кабине управления).
Закрытое положение ограждений ВВК и крышевого люка по монитору в кабине управления. На секции где не замкнута блокировка, горит сигнальная ячейка ВВК
В обеих секциях на блоке аппаратов N 3 проверить положение разъединителя Q1 ввода под низким напряжением.
Поставить тумблер SA1 ""Токоприемник"" в положение ""включен""."
14;БВ не включается;"- не сработали на включение реле дифференциальной защиты;
- после срабатывания защиты не включились БК.
- не поступает кратковременное питание на контактор КМ19.";"- в кабине управления проверить наличие напряжения в контактной сети и включение БК и РДФ;
- если не включается БК или КМ19 следовать на исправных секциях."
15;Срабатывает БВ при переходе с одного соединения ТЭД на другое.;При переходах не включается реле РП3;"Следование на последовательном соединении на 8 ТЭД, для перехода на СП и П перед набором позиций отключить БВ неисправной секции выключателем SA2 ""БВ"" и следовать на исправных секциях."
16;Не запускаются вентиляторы охлаждения ТЭД;"- нет сигнала с пульта управления в МСУЛ на запуск МВ;
- БУК не создает цепь для включения контакторов МВ.";"- перезагрузить МСУЛ
- включить МВ принудительно на ЩПР шкафа N 4."
17;Не запускаются компрессора;"- нет сигнала с пульта управления в МСУЛ на запуск МК;
- БУК не создает цепь для включения контакторов МК.";"- перезагрузить МСУЛ
- включить МК принудительно на ЩПР шкафа N 4.
- перейти на ручное управление работой МК."
"Примечание: перед проверкой цепи управления компрессором проверить выключенное положение автомата ""Обогрев картера компрессора"".";;;
18;"После постановки джойстика SA45 в положение ""+1"" нет набора позиций";"- не развернуты реверсора в положение направления движения;";"- по монитору в кабине управления проверить соответствие положения реверсоров (разворачиваются вручную нажатием на грибок электропневматического вентиля привода);"
;;"- не развернуты режимные переключатели в положение ""тяга"";";"- по монитору в кабине управления проверить соответствие положения режимных переключателей (разворачиваются вручную нажатием на грибок электропневматического вентиля привода);"
;;"- наличие сигнала в систему МСУЛ по цепи ""выбег""";"- по монитору в кабине управления проверить сигнал ""разрешение тяги"" (включенное положение ключа ЭПК, отсутствие сработавшего датчика обрыва контроля ТМ через РП5, давления в ТМ (ВУП6), разрешение тяги по САУТ)."
