к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах ВЛ15;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения
Цепи токоприемника;;;
1;Снятие напряжения с контактной сети.;Пробой опорных изоляторов токоприемника, дросселя, конденсатора, блока контура с разделительным конденденсатором, пробой или разрушение разрядника перекрытие изолированных воздушных шлангов токоприемника, механическое повреждение токоприемника.;"Опустить токоприемники.
Выявить неисправный токоприёмник, отсоединить его крышевым разъединителем QS1 (QS2), отключить кнопку неисправного токоприемника ХА1 (ХА2) на щитке параллельной работы, а также перекрыть воздушный кран к клапану токоприемника KH12 (KH13). Продолжить движение на исправных токоприемниках."
2;"При включении кнопок ""Токоприемники"" вентиль защиты Y18 не получает питание.";"Неисправны блокировки дверей ВВК. Нет контакта в автомате защиты SF11.
Недостаточное давление воздуха в цепи управления.";"Проверить положение контроллера машиниста на нулевой позиции. Проверить автомат SF-11 в кабине управления.
Проверить плотность закрытия дверей ВВК и щитов пусковых сопротивлений надежность их блокирования. Убедиться в открытии кранов на пневматической панели обоих секций.
Проверить давление воздуха в цепи управления. Давление воздуха по манометру на пульте ТЧМП должно быть не менее 0,5 МПа (5 кгс/см2)."
3;"При включении кнопки ""Токоприемник 2-4"" токоприемники не поднимаются.";"Нет контакта в кнопке ""Токоприемник 2-4"" на пульте управления, в кнопках ""Токоприемник 1"", ""Токоприемник 2"" на щитке параллельной работы, нет контакта в низковольтной блокировке шинного разъединителя Q12, также блокировке режимного переключателя Q15.
Недостаточное давление воздуха в цепи управления.";"Включить кнопку ""Токоприемник 1-3"", если токоприемники не поднимаются проверить в обеих секциях включение кнопок ""Токоприемник 1"", ""Токоприемник 2"" на щитке параллельной работы, положение режимного переключателя Q15, положение шинного разъединителя Q12 (должен быть в нижнем положении).
Убедиться в открытии кранов на пневматической панели неисправной секции."
Цепи быстродействующего выключателя;;;
4;"При включении кнопок ""БВ-1"", ""Возврат БВ-1"" - БВ-1 (QF1) не включается на обеих секциях.";"Нет контакта в автомате защиты SF14. Нет контакта в кнопках ""БВ-1"", ""Возврат БВ-1"" на пульте управления.
Нет контакта в кнопке ""БВ-1"" на щитке параллельной работы. Нет контакта в низковольтной блокировке КА 1 и в низковольтной блокировке KV-28. Переключатели Q5 и Q6 находятся в тормозном режиме.";"Проверить положение контроллера машиниста на нулевой позиции, включение автомата SF-14 в кабине управления, включение в обеих секциях кнопки ""БВ-1"" на щитке параллельной работы, включение реле КА 1 и KV-28 и положение тормозных переключателей Q5 и Q6."
5;"При включении кнопок ""БВ-1"", ""Возврат БВ-1"" -БВ-1(QF1) не включается на одной из секций.";"Нет контакта в кнопке ""БВ-1"" на щитке параллельной работы. Нет контакта в низковольтной блокировке КА 1 и в низковольтной блокировке KV-28. Переключатели Q5 и Q6 находятся в тормозном режиме.";"На неисправной секции проверить включение кнопки ""БВ-1"" на щитке параллельной работы, включение реле КА 1 и KV-28 и положение тормозных переключателей Q5 и Q6. Если, при правильном положении тормозных переключателей Q5 и Q6 и включенных реле КА 1 и KV-28, БВ-1 не включается следовать на исправной секции."
6;При следовании с поездом происходит срабатывание БВ-1(QF1) на одной или обеих секциях c выпадением сигнализатора реле перегрузки (КА3-КА5).;Короткое замыкание в силовой цепи ТЭД.;Допускается дважды восстанавливать защиту. По отпавшему сигнализатору реле перегрузки (КА3-КА5) определить неисправный двигатель и отключить неисправную пару ТЭД. Реверсивную рукоятку установить в нулевое положение, включить спаренный тумблер на пульте управления S46-S49, если необходимо отключить 1-2 ТЭД, включить спаренный тумблер на пульте управления S50-S57, если необходимо отключить 3-4 ТЭД, включить спаренный тумблер на пульте управления S51-S58, если необходимо отключить 5-6 ТЭД.
7;При следовании с поездом происходит срабатывание БВ-1(QF1) на одной или обеих секциях без выпадения сигнализатора реле перегрузки (КА3-КА5).;Короткое замыкание в силовой цепи пусковых сопротивлений.;Следовать на исправной секции.
8;Срабатывание БВ-1(QF1) происходит при переходе с С на СП и СП на П.;Нарушение синхронной работы групповых переключателей.;"Проверить четкость работы групповых переключателей Q1 и Q2.
Отключаем неисправную секцию кнопкой БВ-1 на щитке параллельной работы и следуем на одной секции.
Для вывода поезда с перегона при критическом весе поезда применять 12-ти моторную схему, установив реверсивную рукоятку в нулевое положение, а рукоятку пакетного выключателя S30 (на пульте управления) в положение SM1."
9;Срабатывание БВ-1(QF1) происходит при постановке тормозной рукоятке в положение ОП1, ОП2, ОП3, ОП4.;Короткое замыкание в цепи контакторов ослабление возбуждения.;Следовать на С-СП-П- соединениях ТЭД. Ступени ослабления возбуждения не применять.
Цепи управления;;;
10;При включении рубильника S1(S6) аккумуляторной батареи сгорает предохранитель F2(F7).;Короткое замыкание в аккумуляторной батарее.;Выключить рубильником S1(S6) неисправную аккумуляторную батарею на панели управления А1(А2) и перейти на работу аккумуляторной батареи исправной секции.
11;Не работает один из генераторов управления G1(G2).;Перегорел предохранитель F4(F6) на панели управления А1(А2).;Поменять неисправный предохранитель, при повторном сгорании предохранителя отключить рубильником S3 на панели управления А1(А2) неисправный генератор.
;;Неисправен генератор управления G1(G2).;Отключить рубильником S3 на панели управления А1(А2) неисправный генератор.
Цепи тяговых двигателей и линейных контакторов;;;
12;"При постановке реверсивно-селективной рукоятки в положение ""Вперед"" реверсора не разворачиваются на обеих секциях.";Нет контакта в автоматах защиты SF1, SF14. Не вставлен ключ в блокировочное устройство тормозов или нет контакта в блокировки QS2. Нет напряжения на шине контролера машиниста.;"Проверить включение автоматов SF1, SF14 в кабине управления. Поставить ключ в блокировочное устройство тормозов. Путем постановки реверсивной рукоятки в положение ""Назад"" проверить наличие напряжения на шине контролера машиниста."
13;При постановке контролера машиниста на 1-ю позицию схема не собирается.;Нет питания в цепи линейных контакторов.;"Проверить положение реверсоров, отключателей ТЭД и тормозных переключателей в правильном положении (Ровная сторона вала переключения).
Проверить включение реле ""KV 31"", ""KV24"" и ""КТ11"", отключенное состояние ""KV26"" и ""KV29""."
14;При включённых линейных контакторах нет тока по амперметрам.;Обрыв в силовых цепях ТЭД.;Поочередным отключением групп ТЭД тумблерами S46- S58 выявить неисправность. Следовать на исправных ТЭД.
15;Нет перехода с С на СП соединение ТЭД на одной секции.;Механическое заедание группового переключателя Q1.;Осмотреть групповой переключатель Q1, проверить его переключение. При невозможности устранить данную неисправность следовать на одной секции.
16;Нет перехода с СП на П соединение ТЭД на одной секции.;Механическое заедание группового переключателя Q2.;Осмотреть групповой переключатель Q2, проверить его переключение. При невозможности устранить данную неисправность следовать на С и СП соединении ТЭД с применением ОП.
17;Постоянно срабатывает противобуксовочная защита, при отсутствии буксования колесных пар.;Неисправность в датчике буксования В1-В3.;Выключить кнопку ПБЗ на пульте управления или поочередным отключением групп ТЭД тумблерами S46- S58 выявить неисправность.
Цепи вспомогательных машин;;;
