к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах ВЛ65;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения неисправности
1;"При включении рубильников АБ SA3 и SA1 отсутствует напряжение в цепях управления.
При проследовании нейтральной вставки теряют питание цепи управления.";Перегорела вставка предохранителя аккумуляторной батареи F1 или F2 по причине КЗ в цепях аккумуляторной батареи.;Заменить предохранитель F1, F2.
2;Не поднимаются токоприемник 1 и токоприемник 2;Напряжение в ЦУ ниже 35В;"Перевести рубильник цепей управления SA1 на РЩ головной секции в положение ""Аварийно""."
;;Низкое давление воздуха в ЦУ (ниже 5 атм.);Пополнить давление воздуха вспомогательным компрессором.
;;Включен рубильник QS21;Отключить все рубильники QS21 на блоках А11-А12
3;Не включается ГВ;Низкое давление в резервуаре ГВ (менее 6 атм.);Повысить давление воздуха в резервуаре ГВ вспомогательным компрессором (не менее 6 атм.)
;;"Выключен тумблер S61(S62) ""Отключение""";"Включить тумблер S61(S62) ""Отключение""."
4;ГВ включается и вновь отключается;Срабатывает защита цепей отопления поезда КА8;Отключить отопление разъединителем поезда.
;;Срабатывает защита ВИП U1 (КА1, или КА2, или КА3);Отключить ВИП U1 разъединителями QS3, QS5.
;;Срабатывает защита ВИП U2 (КА4, или КА5, или КА6);Отключить ВИП U2 разъединителями QS4, QS6.
;;Срабатывает защита цепей возбуждения КА12;Отключить ВУВ разъединителем Q1.
;;Срабатывает защита обмотки собственных нужд КА7;"Определить неисправную вспомогательную машину (МВ1, МВ2, МВ3, МК, МН) по наличию дыма, или по привариванию силовых контактов контактора неисправной вспомогательной машины. Если защита срабатывает при включении вспомогательной машины, отключить её на ЩПР (предварительно проверить размыкание силовых контактов контактора).
При отключении МВ1, или МВ2 следовать далее на 3-х ТЭД.
При отключении МК следовать с одним компрессором."
;;Срабатывает РЗ (только под нагрузкой);"Определить неисправную группу поочерёдным отключением тумблеров на ЩПР ""Вентилятор 1"" S11 и ""Вентилятор 2"" S12, следовать на 3-х ТЭД, отключив на ЩПР МВ неисправной группы тумблером S11 или S12.
Если 3-х ТЭД не достаточно, определить неисправный ТЭД отключением ножей QS11, QS12, QS13 неисправной группы. (При этом QS15 должен быть включен). Далее следовать с учетом оставшихся в работе ТЭД."
;;"Срабатывает РЗ в положении контроллера ""П"" или ""0"".";"Поочерёдным отключением рубильников QS15 на блоках А11, А12, найти неисправный блок.
В неисправном блоке определить неисправный ТЭД отключением QS11, QS12, QS12 (При этом QS15 должен быть включен).
Если при отключенных QS11 и QS12 и QS13 РЗ продолжает срабатывать, необходимо отключить ВИП неисправного блока разъединителями QS3, QS5 (или QS4 QS6) и на неисправном блоке отключить QS15. Далее следовать с учетом оставшихся в работе ТЭД и веса поезда."
5;"При постановке штурвала в положение ""П"" не гаснет лампа ""ВИП"", при переводе штурвала в положение ""НР"" отпадают все БВ QF11, QF12, QF13";Положение реверсоров не соответствует положению реверсивной рукоятки.;"Перевести реверсора QP1 вручную, нажав на шток вентиля ""Вперед"" или ""Назад"" (в соответствии с положением реверсивной рукоятки)."
