к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах ВЛ80Р;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения неисправности
1;"При включении рубильников SA2 и SA1 отсутствует напряжение в ЦУ.
При проследовании нейтральной вставки теряют питание цепи управления";Сгорела вставка предохранителя аккумуляторной батареи Пр1 или Пр2 по причине КЗ в цепях аккумуляторной батареи.;"На РЩ неисправной секции батарею отключить рубильником 2Р. Рубильник цепей управления 3Р на РЩ неисправной секции перевести в положение ""Аварийно""."
2;Не поднимаются токоприемник передний и токоприемник задний.;Напряжение в ЦУ головной секции ниже 35В;"Перевести рубильник цепей управления 3Р на РЩ головной секции в положение ""Аварийно""."
;;Низкое давление воздуха в ЦУ в одной из секций ниже 5 атм.;"Пополнить давление воздуха вспомогательным компрессором, или в неисправной секции шторы ВВК замкнуть ключами ФШ, ключи вставить в блокировочное устройство 235 и перевести его рукоятку в положение ""Реле давления зашунтировано"".
Поднять токоприемник исправной секции."
;;Не вышли блокировки штор ВВК в одной секции.;"В неисправной секции шторы ВВК замкнуть ключами ФШ, ключи вставить в блокировочное устройство 235 и перевести его рукоятку в положение ""Реле давления зашунтировано"". Поднять токоприемник исправной секции."
;;Не правильно собрана схема резервирования.;В неисправной секции отключить разъединитель 111 и включить разъединители 126 в обеих секциях. (Нормальное положение: в обеих секциях разъединители 111 включены, 126 отключены)
;;Включен рубильник QS5;Отключить все рубильники QS5 на блоках А11-А12
;;Отключен автомат ВА1.;Проверить включение автомата ВА1 (восстановить).
;;Не включены реле 248.;Проверить включение реле 248.
3;Не включается ГВ всех секций;Низкое давление в резервуарах ГВ (менее 6 атм.);Повысить давление воздуха в резервуарах ГВ вспомогательным компрессором (не менее 6 атм.)
;;Напряжение в ЦУ головной секции ниже 35В;"Перевести рубильник цепей управления 3Р на РЩ головной секции в положение ""Аварийно""."
;;Отключен автомат ВА2.;Проверить включение автомата ВА1 (восстановить).
;;"Не включена кнопка ""Цепи управления"".";"Включить кнопку ""Цепи управления""."
;;Не включена блокировка тормозов.;Включить блокировку тормозов.
;;"Контролер машиниста в положении ""НР"", не включено реле 264.";"Контролер машиниста установить в положение ""0"", проверить включение реле 264."
;;Не поднят токоприемник, не включено реле 248.;Проверить включение реле 248.
4;Не включается ГВ одной секции;Неисправно реле 264 или обрыв цепи включающей катушки ГВ;Следовать на одной секции, если позволяет вес поезда.
;;"БП в положении ""торможение""";"Перевести БП неисправной секции в положение ""тяга""."
;;Низкое давление в резервуаре ГВ неисправной секции;Повысить давление в ГВ вспомогательным компрессором
;;Напряжение в ЦУ головной секции ниже 35В;"Перевести рубильник цепей управления
SA1 на РЩ головной секции в
положение ""Аварийно"""
;;Не включено реле 248 или 264 на неисправной секции;Проверить включение реле 248 и 264
5;ГВ одной секции включается и вновь отключается;Срабатывает защита ВИП 61 (РТ1, или РТ3, или РТ5);"Отключить неисправный ВИП переключателем 81 с помощью тумблера ""ВИП61"" на ЩПР 227."
;;Срабатывает защита ВИП 62 (РТ1, или РТ3, или РТ5);"Отключить неисправный ВИП переключателем 82 с помощью тумблера ""ВИП62"" на ЩПР 227."
;;Срабатывает РМТ;Отключить неисправную секцию переключателем режимов, следовать на оставшихся в работе секциях.
;;"Срабатывает РЗ в положении контроллера ""П"" или ""0"".";Поочерёдным отключением ножей ОД1 и ОД2 на блоках силовых аппаратов найти неисправный (неисправные) ТЭД и отключить его (их). Если при всех отключенных ОД1 и ОД2 РЗ продолжает срабатывать, отключить неисправную секцию.
;;Срабатывает РМТ;Отключить неисправную секцию переключателем режимов. Далее следовать с учетом оставшихся в работе секций, и веса поезда.
;;Срабатывает защита обмотки собственных нужд 113 из-за приваривания силовых контактов контактора одной из вспомогательных машин;Визуально определить приварившийся контактор, разлепить силовые контакты, отключить неисправную вспомогательную машину на ЩПР и продолжить движение на оставшейся мощности локомотива.
6;Не включаются БВ 51, 52, 53, 54 всех секций.;Постороннее питание в проводе Э14 (не отключается 207 реле);"Перевести контроллер в положение ""НР"""
;;Отключен автомат ВА2;Проверить включение автомата ВА1 (восстановить)
;;"Не включена кнопка ""Цепи управления""";"Включить кнопку ""Цепи управления"""
;;"Контролер машиниста в положении ""НР"", не включено реле 264";"Контролер машиниста установить в положение ""0"", проверить включение реле 264"
;;Напряжение в ЦУ головной секции ниже 35В;"Перевести рубильник цепей управления
SA1 на РЩ головной секции в положение ""Аварийно"""
7;Не включаются БВ 51, 52, 53, 54 одной секции.;Обрыв в проводе Н146;Следовать на оставшихся в работе секциях, если позволяет вес поезда.
;;Не включается 264 реле;
;;Ошибочно отключены тумблеры ВИП61 и ВИП62 на ЩПР 227;Включить тумблеры ВИП61 и ВИП62 на ЩПР 227.
;;"Не включен автомат ВА11 ""Тяговые двигатели"" в неисправной секции.";При повторном отключении автомата ВА11 следовать на оставшихся в работе секциях, если позволяет вес поезда.
8;Не включаются БВ одной группы 51, 52, или 53, 54.;Обрыв цепи удерживающих или включающих катушек.;следовать далее на 6-ти (или 10-ти ТЭД) если позволяет вес поезда.
;;Ошибочно отключен тумблер ВИП61 (или ВИП62) на ЩПР 227;Включить тумблеры ВИП61 (или ВИП62) на ЩПР 227
;;Потеря контакта в проводах Н23 или Н24 на реле 264;Запустить МВ и включить ВБ штатным порядком
9;Не включается один из БВ;Неисправность цепи удерживающей или включающей катушек одного из БВ.;Следовать далее на 7-ти (или 11-ти ТЭД) если позволяет вес поезда.
10;"При постановке штурвала в положение ""НР"" отпадают БВ одной группы.";Потеря контакта в блокировках контактора вентилятора 129 или 130.;Если позволяет вес поезда следовать на 6-ти (10-ти) ТЭД.
11;"В положении контроллера ""ПО"" не гаснет лампа ""Т"". В зонах регулирования нагрузки нет на всех секциях.";Не включены контакторы 135.;"Нажать кнопку ""Включение ГВ и возврат реле"""
12;"При постановке штурвала в положение ""П0"" не гаснет лампа ""Т"", при переводе штурвала в ""НР"" нет нагрузки на одной секции.";Не включен контактор 135;"Нажать кнопку ""Включение ГВ и возврат реле"""
;;Обрыв цепи контакторов 193, 194.;Следовать на оставшихся в работе секциях, если позволяет вес поезда.
13;"В ""ПО"" лампа ""Т"" гаснет, в ""НР"" снова загорается.
В зонах регулирования нет нагрузки на одной секции.";"Обрыв цепи ""самоподхвата"" контакторов 193, 194.";Следовать на оставшихся в работе секциях, если позволяет вес поезда.
14;"В ""ПО"" лампа ""Т"" гаснет, нагрузки на ТД всех секций нет";Неисправен блок управления.;Включить БУ другой секции.
15;"В ""ПО"" лампа ""Т"" гаснет, нагрузки на ТД одной секции нет
В ""ПО"" лампа ""Т"" гаснет, нет нагрузки на ТД одной группы";Перегорела вставка предохранителя 254 (На электровозах с ЩР-2);"Заменить предохранитель. При повторном перегорании вставки 254. На целом электровозе переключить рубильник ""В"" на ЩР-2 вниз до упора. При повторном перегорании вставки 254 на прицепной секции следовать на оставшихся в работе секциях."
;;Перегорела вставка предохранителя 116, или одна из вставок ПР-1, или ПР-2 на ЩР-2 (На электровозах с ЩР-2);Заменить предохранитель. При повторном перегорании вставок следовать на оставшихся в работе секциях, если позволяет вес поезда.
;;"Перегорела вставка 254 или 116
(На электровозах с ВИП-4000)";
;;"Перегорела вставка предохранителя ""Сеть"" блока питания ВИП (или неисправен блок на электровозах с ВИП-4000).";"Заменить предохранитель. При повторном перегорании вставки ""Сеть"" следовать на 6-ти (или 10-ти ТЭД)."
16;"Горят лампы ""Т"" и ""Р"".
БП и тормозные переключатели одной секции не переводятся в режим тяги.";"Обрыв цепи к вентилям ""Тяга"" БП (и к вентилям ""Тяга"" тормозных переключателей 49, 50)";Перевести БП (а при необходимости и тормозные переключатели 49, 50) вручную, нажав на шток вентиля пневмопривода.
17;"Горят лампы ""Т"" и ""Р"". Тормозной переключатель 49 не переводится в режим тяги.";"Механическое заедание, или неисправность вентиля ""Тяга"".";При невозможности перевести тормозной переключатель 49 вручную (механическое заедание). Следовать на оставшихся в работе секциях.
18;Не запускаются ФР и вспомогательные машины всех секций.;Отключены 239 реле.;"Нажать кнопку ""Включение ГВ и возврат реле""."
;;"Не включен автомат ВА-3 ""Вспомогательные машины"".";Включить автомат ВА-3
19;Не запускается ФР одной секции и вспомогательные машины всех секций.;Сработали ТРТ.;"Нажать кнопку ""Включение ГВ и возврат реле""."
20;Не запускается МВ-1 одной секции.;Обрыв в проводе Н127одной секции.;Отключить ВИП-61 в неисправной секции и следовать на 6-ти (10-ти) ТЭД.
21;Не запускаются МВ-2 всех секций.;Обрыв в проводе Э22.;Следовать на 4-х (6-ти) ТЭД, во всех секциях отключить ВИП-62, и продолжить движение.
22;Не запускается МВ-2 одной секции.;Обрыв в проводе Н128 одной секции.;Отключить ВИП-62 в неисправной секции и следовать на 6-ти (10-ти) ТЭД.
