к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на тепловозах 2ТЭ10М, 2ТЭ10МК, 2ТЭ10У, 2ТЭ10УК;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения неисправности
1;"При включении тумблера ""Топливный насос"" вал топливоподкачивающего агрегата не вращается:";;
;КТН не срабатывает;"Не включен автомат ""Дизель"".";"Включить автомат ""Дизель""."
;КТН срабатывает;"Не включен или выбивает автомат ""Топливный насос""";"Включить автомат ""Топливный насос""."
2;"При нажатии кнопки ""Пуск дизеля"" маслопрокачивающий насос не работает:";"Отключился автомат ""Управление""";Включить автомат.
;;Реверсивная рукоятка не переведена в рабочее положение;Установить реверсивную рукоятку в рабочее положение.
;;Контроллер не установлен в нулевое положение;Установить контроллер в нулевое положение.
3;Реле РУ6 срабатывает, но не включается реле времени РВ1;Перегорел предохранитель на 125 А в цепи электродвигателя маслопрокачивающего насоса;Заменить плавкую вставку предохранителя
4;Рейки топливных насосов не выдвигаются на подачу топлива;Отключена подача топлива предельным выключателем;Восстановить предельный выключатель в рабочее положение рукояткой взвода
5;Рейки топливных насосов не выдвигаются на подачу топлива или выходят медленно;Заедание плунжерной пары какого либо насоса или общей тяги подачи топлива;Проверить свободность хода реек топливных насосов. Неисправный насос отключить выводом поводка от общей тяги
6;Сработало термореле воды или масла;Перегрев в системе охлаждения воды или масла;"Проверить работу вентилятора и жалюзей на ручном управлении холодильника. Охладите воду или масло.
При выходе из строя запорного клапана отрегулировать давление в гидромуфте обходным вентилем"
7;"Снимается нагрузка, но дополнительно включается сигнальная лампа ""Реле заземления""";Пробой изоляции силовой цепи тепловоза;"Осмотреть главный генератор (Г.Г.) и при отсутствии следов переброса и запаха горелой изоляции, обратить внимание на поездной реверсор (П.Р.)
Далее на нулевой позиции контроллера кратковременным нажатием кнопки перевести реле заземления в отключенное состояние. Затем, поочерёдно включая тумблера ОМ1 - ОМ6 и набирая тяговые позиции (не выше пятой), по повторному срабатыванию реле заземления определить цепь с повреждённым двигателем. На нулевой позиции контроллера отключить ВРЗ-1 и с помощью кнопки вновь отключить реле заземления. Повторить набор позиций с выключенным неисправным двигателем. Если реле не включилось, пробой изоляции на минусовой стороне, если включилось - на плюсовой. Неисправный электродвигатель отключить с плюсовой стороны соответствующим тумблером ОМ1 - ОМ6.
После этого восстановить отключенное состояние реле заземления, включить разъединители ВРЗ1 и ВРЗ2 и следовать далее, контролируя максимально допустимый ток тягового генератора 3500 А"
8;Сработало реле РОП;Неисправность тягового электродвигателя;Освобождая реле от защелки и поочередно отключая ОМ1-ОМ6, определить и отключить неисправный двигатель
9;Частота вращения вала дизеля по позициям не соответствует номинальной (не увеличивается или резко изменяется);Нарушение одного из контактов контролера в цепях управления электромагнитами МР1-МР4;Проверить штепсельное соединение ОРД.
;;Не работает датчик числа оборотов;Проверить штепсельное соединение датчика числа оборотов.
10;Стрелки манометров давления топлива вибрируют на щитке приборов в дизельном помещении;Попадание воздуха в топливную систему;При работающем топливоподкачивающем насосе открыть вентиль на нагнетательной трубе и пробку на фильтре тонкой очистки топлива и выпустить воздух.
11;Дизель не развивает обороты.;Тугой ход или заклинивание реек топливных насосов;Отключить поводок рейки неисправного топливного насоса
;;Разъединение рейки топливного насоса и поводка;Соединить поводок рейки с тягой подачи топлива
12;Низкое давление масла в системе смазки;Пониженная вязкость масла вследствие его перегрева или попадания топлива;Добейтесь снижения температуры масла, далее следовать с постоянным контролем давления и температуры масла
13;Снижение давления наддува, сопровождаемое повышением температуры выпускаемых газов;Чрезмерно большое сопротивление на всасывании, засорен воздухоочиститель;Перейти на забор воздуха из дизельного помещения, путём открытия заслонок на ФНД
14;Повышенная остаточная частота вращения вентиляторного колеса холодильника;Заполнен круг циркуляции (открыт вентиль);Закрыть обходной вентиль запорного клапана гидромуфты
15;После пуска дизеля нет заряда батареи (амперметр указывает на разрядку или не работает);Перегорел предохранитель на 125 А вспомогательного генератора;Заменить перегоревший предохранитель
16;Повышенная течь топлива из сливной трубки форсунки или топливного насоса;Вышел из строя топливный насос или форсунка (при неисправном топливном насосе выведенная из зацепления рейка не перемещается);Отключить неисправный топливный насос
17;Стук, внезапно возникающий при работе дизеля;Неисправность шатунно-поршневой группы.;Немедленно остановить дизель.
