к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах ВЛ80С;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения
Цепи токоприемника;;;
1;Снятие напряжения с контактной сети из-за срабатывания подстанционной защиты.;Пробой опорных изоляторов токоприемника. Перекрытие изолированных воздушных шлангов токоприемника. Поломка токоприемника.;"Опустите токоприемник. Остановитесь. Произведите осмотр силовых цепей крышевого оборудования с ""поля"". Выявив пробой, разрушение опорных изоляторов токоприемника или излом токоприемника - отключите его разъединителем РВ-2. Продолжить дальнейшее движение на исправном токоприемнике.
При эксплуатации электровоза по системе многих единиц из трех секций (для данной системы используются электровозы с номера 698). При выявлении неисправности на токоприёмнике средней секции - отключите на средней секции разъединителем РВ-2, а на соседней секции со стороны токоприёмника разъединителем РВ-6. Продолжите дальнейшее движение на исправных токоприемниках передней и задней секциях."
;;Пробой проходного изолятора силовой цепи. Перекрытие поворотного (или проходного) изолятора ГВ. Перекрытие опорного изолятора разъединителей ВР-2, 6. К.з. на корпус электровоза шин, соединяющих токоприемники обеих секций.;"Опустите токоприемник. Остановитесь. Произведите осмотр силовых цепей крышевого оборудования с ""поля"". Выявив:
1. Перекрытие поворотного (или проходного) изолятора ГВ - отключите неисправную секцию разъединителем РВ-6 и перекройте разобщительный кран КН-34 к вентилю токоприемника 245. Неисправную секцию отключите переключателем режимов. Поднимите токоприёмник на исправной секции.
При эксплуатации электровоза по системе многих единиц из трех секций (для данной системы используются электровозы с номера 698) на средней секции дополнительно выключите разъединитель РВ-2.
2. При перекрытии опорных изоляторов соединительных шин соединяющие секции выполните:
1. на электровозах до N 698 выключите разъединитель РВ-6 (который установлен только на секции N 2), неисправную секцию отключите переключателем режимов, поднимите токоприёмник на секции N 2 и следуйте дальше на одной секции;
2. на электровозах с N 698 выключите разъединители РВ-6 на обеих секциях, поднимите токоприёмники и следуйте дальше используя обе секции.
При эксплуатации электровоза по системе многих единиц из трех секций (для данной системы используются электровозы с номера 698) при перекрытии опорных изоляторов соединительных шин соединяющие прицепную и среднею секции - произведите выключение РВ-6 на прицепной секции и РВ-2 на средней секции. Поднимите токоприемники передней и последней секции. Дальнейшее следование возможно с использованием всех трех секций."
;Токоприемник выходит за пределы габарита электровоза.;Поломка токоприемника;Остановите поезд, сообщите энергодиспетчеру. Действуйте по инструкции взаимодействия с энергодиспетчеру. Отключите неисправный токоприёмник высоковольтным разъединителем РВ-2.
2;"При включении кнопок ""Токоприемники"", ""Токоприемник задний"" токоприемник не поднимается.";"Отключен выключатель ВА-1 ""Токоприемники"".
Неисправны блокировки дверей ВВК.";"Включите выключатель ВА-1 ""Токоприемники"".
Проверьте плотность закрытия дверей ВВК и надежность их блокирования"
;;Недостаточное давление воздуха в цепи управления.;Проверьте давление воздуха в цепи управления. При необходимости дополните запас воздуха. При поездной ситуации давление в ГР на момент опускания токоприемника будет составлять 7.5 - 9.0 кгс/см2, а по манометру ЦУ на одной секции давление менее 3.0 кгс/см2, воспользоваться ключами безопасности блокировки штор ВВК, включить 235 блокировку, включить ГВ и поднять токоприемник на исправной секции, а неисправную отключите переключателем режимов. Дальнейшее следование на одной секции.
;;"Неисправна кнопка ""Токоприемник задний"".";"Включите кнопку ""Токоприемник передний"" и поднимите передний токоприёмник."
;;"Неисправна кнопка ""Токоприемники"".";"Выполните двух или трех кратные переключения кнопки ""Токоприемники"". При восстановлении контакта выполните поднятие токоприемника."
;;Потеря контакта блокировки реле 232 в цепи клапана токоприемника.;При неисправности блокировки 232 воспользуйтесь ключами безопасности блокировки штор ВВК, включите 235 блокировку.
;;Обрыв цепи питания вентиля 104, клапана 245.;На секции с неисправным 104 вентилем воспользуйтесь ключами безопасности блокировки штор ВВК, включить 235 блокировку, поднимите токоприемник на исправной секции. При неисправности клапана 245 подъем токоприемника произвести на исправной секции.
3;"При включении кнопки ""Токоприемник Задний"" отключается выключатель ВА-1 ""Токоприемники"".";КЗ в цепи провода Э17.;"Выключите кнопку ""Токоприемник задний"", включите кнопку ""Токоприемник передний"" и продолжайте движение с поднятым передним токоприемником.
Если при включении кнопки токоприемник передний происходит повторное отключение выключателя ВА-1 ""Токоприемники"", короткое замыкание в электрической цепи реле 248 после диодов 383, 384.
Кнопки токоприемник передний/задний на ПУ не включать. Поставить обводной провод с провода НО34 ""Освещение ВВК"" блока N 216 на + клапана N 245 (вентиль токоприемника), провод Н125 отсоединить. Подъем токоприемника осуществлять включением автомата освещение ВВК. Для включения ГВ необходимо на каждой секции заклинить во включенном состоянии реле 248. Включение и отключение ГВ осуществлять установленным порядком."
Цепи главного выключателя (ГВ);;;
4;"Отключился ГВ на обеих секциях и при включенной кнопке ""Выключение ГВ"" и нажатии на кнопку ""Включение ГВ и возврат реле"" на обеих секциях не включается.";"Напряжение цепи управление ниже 35В.
На пульте машиниста может гореть лампа ЗБ.";Соберите аварийную схему питания цепей управления от распределительного щита исправной секции переводом рубильника 3Р установкой в нижнее положение.
5;После отключения ГВ при поездной ситуации обратно ГВ не включаются.;"Неисправна кнопка ""Включение ГВ и возврат реле"".";"Выполните двух или трех кратные включения кнопки ""Включение ГВ и возврат реле""."
6;"При включенной кнопке ""Выключение ГВ"" и нажатии на кнопку ""Включение ГВ и возврат реле"" на одной из секций не включается ГВ.";Отсутствует контакт переключателя режимов ПР в цепи включающей катушки ГВ.;Убедитесь внешним осмотром, что контакты ПР замкнуты.
;;Обрыв цепи питания включающей катушки ГВ.;Осмотрите блокировку на реле 207 в проводах Н86-Н87. Проверьте контакт, при необходимости восстановите контакт.
;;Излом поворотного изолятора ГВ.;Отключите неисправную секцию переключателем режимов. Дальше следуйте на одной секции.
7;При следовании с поездом происходит отключение ГВ в обеих секциях.;"Напряжение в цепи управления ниже 35В.
На пульте машиниста может гореть лампа ЗБ.";Собрать аварийную схему питания цепей управления от распределительного щита исправной секции переводом рубильника 3Р установкой в нижнее положение.
8;При следовании с поездом происходит отключение ГВ на одной из секции.;"Медленный переход ГП с позиции на позицию (свыше 2-3с).
На расширительном табло соответствующей секции горит лампа ГП.";На неисправной секции из-за малого напряжения в ЦУ - собрать аварийную схему питания ЦУ от РЩ исправной секции переводом рубильника 3Р установкой в нижнее положение. При загустении зимой смазки в редукторе включите обогрев ГП.
;;Срабатывает токовая защита РМТ в цепи удерживающей катушки ГВ.;Данную секцию повторно включать запрещено. Отключите неисправную секцию переключателем режимов. Дальше следуйте на одной секции.
;;"Сработало реле перегрузки РП1-РП4 в цепи реле 264 при не превышении тока более 1200А.
На расширительном табло соответствующей секции горит лампа РП.";По выпавшему бленкеру на РП определить неисправный ТЭД и отключите его рубильником ОД.
;;При размыкании ГВ под током произошел излом поворотного изолятора ГВ.;Отключите неисправную секцию переключателем режимов. Дальше следуйте на одной секции.
9;"При включенной кнопке ""Выключение ГВ"" и кратковременном нажатии кнопки ""Включение ГВ и возврат реле"" ГВ на одной из секций кратковременно включается и самопроизвольно отключается.";"Отсутствует контакт в контактах переключателя режимов ПР в цепи удерживающей катушки ГВ.
Обрыв цепи удерживающей катушки ГВ.
Отсутствует контакт в контактах реле 248, 204, 88, 113, РТВ1, РМТ в цепи удерживающей катушки ГВ.";"Отключите переключатель режимов неисправной секции и включите обратно.
Осмотрите блокировку реле 204 в проводах Н73-Н74. Проверьте контакт, при необходимости восстановите контакт. Если работа секции не возобновилась - неисправную секцию отключить переключателем режимов."
10;"При включенной кнопке ""Выключение ГВ"" и нажатии на кнопку ""Включение ГВ и возврат реле"" происходит многократное включение и отключение ГВ на одной из секций.";Нарушение четкой работы контактов ГВ в цепи включающей катушки ГВ. Контакт размыкается раньше, чем полностью включится ГВ, и ГВ выключается.;Отключите неисправную секцию переключателем режимов. Дальше следуйте на одной секции.
11;При следовании с поездом отключается ГВ и загораются красные лампы РЗ и РП.;Неисправен ТЭД;"Произведите осмотр машинного отделения на признак возгорания, задымления и запаха изоляции. При отсутствии перечисленных признаков, восстановите защиту и ведите поезд на низших позициях. При повторном отключении ГВ и загорании сигнальных ламп РЗ и РП отключите неисправный ТЭД разъединителем ОД1-4. Продолжайте движение на
исправных двигателях."
Цепи тяговых двигателей;;;
12;Сработало диффиринциальное реле БРД, отключается ГВ и загорелась одна из сигнальных ламп ВУ-1, ВУ-2.;КЗ в плече выпрямительной установки.;Отключите неисправную выпрямительную установку разъединителем 81 или 82 и продолжите движение.
13;Срабатывает реле перегрузки какого-либо ТЭД, загорелась сигнальная лампа РП соответствующей секции.;Неисправен ТЭД, неисправно реле перегрузки ТЭД (заедает подвижная система реле, ослабла затяжка пружины).;Отключите поврежденный двигатель разъединителем ОД1-4 и продолжите движение на исправных двигателях.
14;"Пробой на ""землю"" во вторичных цепях тягового трансформатора. Сработало реле заземления 88, загорелась сигнальная лампа РЗ соответствующей секции.";Нарушена изоляция токоведущих частей.;Отключите неисправную секцию переключателем режимов. Дальше следуйте на одной секции.
15;Отключился ГВ на одной из секций из-за КЗ в силовой цепи.;КЗ в первичной или вторичной обмотке трансформатора.;Отключите неисправную секцию переключателем режимов. Дальше следуйте на одной секции.
16;Отключение линейных контактов в режиме электрического торможения из-за срабатывания реле РПТ-1 - РПТ-4.;КЗ в цепи тяговых двигателей.;Разберите схему электрического торможения переводом в режим тяги и не применяйте ее до устранения неисправностей.
Цепи линейных контакторов 51 - 54;;;
17;"При включенной кнопке ""Цепи управления"" и положении главного вала контроллера на позиции АВ контакторы 51 - 54 не включается на обоих секциях, лампа ТД не гаснет.";"Отключен выключатель ВА-2 ""Цепи управления"".";"Включите в кабине управления выключатель ВА-2 ""Цепи управления""."
18;На одной из секций линейные контакторы 51 - 54 не включаются, горит лампа ТД.;"Не включены контакторы 129, 130, 133.
Обрыв цепи питания линейных контакторов.";Произведите повторное включение вспомогательных машин. При повторном не подключении линейных контакторов - продолжите движение на исправной секции.
Цепи управления;;;
19;При переводе главной рукоятки контроллера машиниста из нулевого положения в одно из рабочих положений, не включаются контакторы тяговых двигателей, лампа ТД не гаснет.;Нарушен контакт ключа ЭПК.;Выключите и обратно включите ключ ЭПК.
;;Нарушен контакт реле 267, 272, 271 в цепи проводов Н2 - Н305.;Проверьте контакты, при необходимости восстановите контакт.
;;"Не перешел в конечное положение один из реверсоров, тормозных переключателей, переключателей потока воздуха; блокировочный переключатель ГП не перешел в нулевое положение.";Несколько раз переключите аппараты из одного положения в другое, действуя при этом реверсивной и главной рукоятками. Проверьте по указателю позиций, на какой позиции находится ГП. Если ГП не дошел до нулевой позиции, то произвести набор и сброс позиций ГП.
;;Нарушен контакт в цепи контактора мотор - вентиляторов МВ3, МВ4, контактора 133.;Выключите и произведите повторное включение вспомогательных машин, если линейные контакторы не включились - продолжить движение на оставшихся тяговых двигателях.
20;ГП при наборе позиций не вращается на одной секции.;Поврежден контактор 208. Неисправен контактор 206.;"Тщательно осмотрите контакторы 208, 206. В случае невозможности устранения неисправности отключите секцию переключателем режимов.
При включенном контакторе 208 проверить исправность плавкого предохранителя Пр12."
21;Контакторы 208, 206 включены, ГП не вращается, не слышен шум воздуха, проходящего через контакторы А, Б, В, Г, так как не возбуждены клапана 221, 222.;Сгорел предохранитель Пр12 в цепи провода Н49 (в цепи серводвигателя).;Сгоревший предохранитель замените.
22;Изменился накал ламп, упало напряжение в цепях управления.;Неисправен ТРПШ, перегорел предохранитель в первичной обмотке или вторичной обмотке ТРПШ.;"Выключателем ВА-36 ""Включение РЩ"" отключите распределительный щит, рубильник 3Р установите в нижнее положение, цепи управления обеих секций получают питание от ТРПШ исправной секции."
