к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на тепловозах ТЭМ2;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения
Пуск дизеля;;;
1;"Топливоподкачивающий насос не создает нормального давления 0,18-0,3 МПа"" (1,8-3,0 кгс/см2)";"Попадание воздуха в топливную систему
Выход из строя топливо подкачивающего насоса.";"Открыть кран на нагнетательной трубке и выпустить воздух.
Если устранить неисправность невозможно, разрешается работа и следование с поездом при питании секции топливных насосов за счет разряжения, создаваемого секциями топливного насоса дизеля с помощью аварийной системы. Для этого выключить автомат ""Топливный насос"", снять пломбу с крана 4(26), открыть кран и запустить дизель. Остановку дизеля производить выключением тумблера ""Пуск-остановка дизеля"""
2;"При включенных автомате и тумблере ""Топливный насос"" вал топливоподкачивающего насоса не вращается или вращается с перебоями";Перегорел предохранитель цепи питания от аккумуляторной батареи.;Сменить предохранитель на 80 А в аппаратной камере.
3;"При включении тумблера В-27 ""Пуск и остановка дизеля"" и автомата АВ-3 ""Управление общее"" не включается контактор КТН";"Переключатель числа тепловозов - ПЧТ не установлен в положение ""Одного тепловоза"".";"Поставить переключатель ПЧТ в положение ""Одного тепловоза"" то есть горизонтальное."
4;"При включении тумблера ""Пуск-остановка дизеля"" и автомата ""Управление общее"" коленчатый вал не проворачивается";Штурвал контроллера машиниста не установлен в нулевое положение.;Установить контроллер машиниста в нулевое положение.
;;Не сработало реле времени РВЗ и не замкнулись его контакты в цепи катушки реле РУ5.;Проверить срабатывание реле РВЗ
;;Наличие воздуха в топливной системе или его подсос.;Удалить воздух из системы.
;;Нарушена последовательность пусковых операций.;"Отключить и снова включить тумблер ""Пуск-остановка дизеля""."
5;При пуске коленчатый вал вращается нормально, рейки топливного насоса передвигаются в сторону подачи топлива, но дизель-генератор не запускается.;Выключены секции топливного насоса;Включить секции топливных насосов
;;Попадание воздуха в топливную систему;Удалить воздух из топливной системы.
;;Недостаточное количество масла в ванне;Заполнить ванну регулятора маслом до середины масломерного стекла
;;Чрезмерная вязкость масла, залитого в ванну регулятора (в зимнее время);Наполнить ванну регулятора подогретым маслом, взятым из картера дизеля
;;Сработал регулятор предельной частоты вращения коленчатого вала;Восстановить регулятор предельной частоты вращения вала дизеля
6;Дизель-генератор запускается с трудом или после пуска останавливается;Тугой ход реек топливного насоса;Проверить свободность хода реек, неисправный насос отключить
;;Дизель не прогрет;Прогреть дизель до необходимой температуры
7;Дизель не запускается при исправной работе электрической аппаратуры;Не включен предельный регулятор частоты вращения коленчатого вала дизеля.;Включить предельный регулятор, для чего установить рукоятку ручного выключения дизеля в первоначальное положение.
;;Недостаточное количество топлива в топливном баке.;Проверить наличие топлива в баке.
;;Недостаточное количество масла в ванне регулятора.;Недостаточное количество масла в ванне регулятора.
;;Нет контакта у замыкающего контакта реле РВ3 с выдержкой времени 30секунд.;Перед запуском дизеля произвести прокачку масляной системы дизеля включением тумблера В4, затем выключить его. Произвести запуск дизеля принудительным включением реле РУ5.
8;Дизель не идет на запуск, схема собирается, нет проворота коленчатого вала;Неисправность может быть в контакторах Д1 и Д2 из-за подгара контактов.;Обратить внимание на стрелку амперметра аккумуляторной батареи, если она отклоняется влево, а лампы освещения гаснут, это говорит о слабой батарее или выходе из строя отдельной банки.
9;Дизель останавливается при постановке реверсивной рукоятки в нулевое положение;После запуска дизель останавливается при переводе реверсивной рукоятки в нулевое положение, по причине отсутствия контакта в блокировке РУ17 между проводами 855 и 857.;Дать постороннее питание на клемму 4/4 под пультом управления.
Зарядка аккумуляторной батареи;;;
10;Отсутствует зарядка аккумуляторной батареи;Перегорел предохранитель на 80 А вспомогательного генератора или батареи.;Заменить предохранитель 80А в аппаратной камере.
;;Проскальзывают ремни привода двухмашинного агрегата.;Натянуть ремни привода двухмашинного агрегата при остановленном дизеле.
;;Не включилось РУ17.;Восстановить контакт между проводами 111-112 в блокировочном контакте Д2.
Трогание тепловоза с места;;;
11;Тепловоз не трогается с места после установки штурвала контроллера машиниста в рабочее положение.;"Выключен тумблер ""Управление машинами""";"Включить тумблер ""Управление машинами"""
;;Выключен отключатель моторов;Поставить отключатель моторов в положение I-II для езды на двух тележках
;;Не замкнулись контакты выключателя блокировки двери в аппаратной камере;Проверить закрытие двери аппаратной камеры
;;Выключен ЭПК;Включить ЭПК
;;Обрыв провода в цепи резисторов СВВ или сгорел один из резисторов.;Найти неисправность и устранить, или запасным хомутом соединить концы оборванной проволоки резистора СВВ.
12;Тепловоз не трогается с места, срабатывает реле боксования.;На валу одного из тяговых электродвигателей повернулись шестерни;Выключить неисправную тележку, установить отключатель моторов в положение I или II.
;;Обрыв в цепи реле боксования.;Выключить тележку с неисправным реле боксования.
;;Остался включенным контактор Ш1 или Ш3.;Вручную разомкнуть контактор с соблюдением техники безопасности.
13;Не включаются контакторы ВВ, П-1, П-2, КВ ,реле РВ-4, РВ-1;"Не включен тумблер В-2 ""Управление машинами"".";"Включить тумблер В-2 ""Управление машинами""."
;;"Выключен автомат АВ-З ""Управление общее"".";"Включить автомат АВ-3 ""Управление общее""."
14;"Не разворачивается вал реверсора в положение ""Вперед"" и ""Назад"".";Нет контакта у размыкающихся блок-контактов контакторов П1 и П2.;Осмотреть, не остались ли во включенном положении контакторы П1 и П2. Привести их в выключенное положение. Если нет контакта у размыкающих блок-контактов, то восстановить.
;;Заедание привода реверсора.;Повернуть вал реверсора вручную в нужное положение.
;;Оборван минусовой провод 259.;Поставить перемычку от минусового ножа рубильника АБ на минусовые выводы катушек вентилей реверсора или на минус катушки контактора П2.
Следованием с поездом;;;
15;Не происходит включения ослабленного возбуждения тяговых электродвигателей;"Не включен тумблер ""Управление переходами"".";"Включить тумблер ""Управление переходами""."
;;Неисправность реле РП1 и РП2.;"Осмотреть реле РП1 и РП2, если повреждение значительное, перейти на ручное управление контакторами шунтировки. Например: для включения контакторов шунтировки Ш1 и Ш3 поставить перемычку от клеммы 1/8 на клемму 3/1, а для включения контакторов Ш2 и Ш4 поставить перемычку от клеммы 3/6 на клемму 3/2. Тумблер В3 ""Управление переходами"" выключить. Включение и выключение контакторов шунтировки регулируют за счет включения тумблеров В15 ""Подрамное освещение"" и В22 ""Освещение аккумуляторной батареи""."
16;Неисправность тягового электродвигателя;Междувитковое замыкание, пробой изоляции якоря или катушек и др.;Дальнейшее следование может быть допущено с отключением тележки с неисправным электродвигателем. Движение на одной тележке осуществлять при токе ГГ до 605 А.
17;Стрелка электроизмерительного прибора стоит в начале шкалы;"Выключен автомат ""Сигнально - контрольные при боры""";"Включить автомат ""Сигнально - контрольные приборы""."
;;"Тумблер ""Питание приборов"" не включен.";"Включить тумблер ""Питание приборов""."
18;Дизель не развивает полной мощности;Обрыв нагнетательной трубки форсунки. Резкое нарушение ритма работы дизеля. Произошло заедание плунжера секции топливного насоса или иглы распылителя форсунки одного из цилиндров дизеля.;Выключить секцию насоса и следовать на пяти цилиндрах.
;;Не работает один или несколько цилиндров.;Выключить секцию топливного насоса неисправного цилиндра и следовать на пяти цилиндрах.
19;Дизель не развивает полной мощности, наблюдается большая дымность;Отсоединилась рейка одной из секций топливного насоса от вала наполнения (появление резких стуков в цилиндре и дымного выпуска).;Выключить секцию топливного насоса и рейку соединить с валом наполнения.
;;Неисправна одна или несколько форсунок;Поочередным выключением секций топливного насоса определить цилиндр, в котором неисправна форсунка. Выключить секцию топливного насоса неисправного цилиндра и следовать на пяти цилиндрах.
20;Дизель работает с дымным выпуском;Дизель перегружен или нагружен сразу же после пуска без предварительного прогрева.;Уменьшите нагрузку или прогрейте дизель после пуска.
;;Зависает игла или засорены отверстия распылителя форсунки.;Поочередным выключением секций топливного насоса определите цилиндр, в котором неисправна форсунка. Выключить секцию топливного насоса неисправного цилиндра и следовать на пяти цилиндрах.
;;Недостаточная компрессия в цилиндрах дизеля вследствие износа или пригорания поршневых колец, негерметичности или поломки пружин клапанов цилиндровых крышек.;Поочередным выключением секций топливного насоса определить неисправный цилиндр. Выключить секцию топливного насоса неисправного цилиндра.
21;Дизель стучит;Зависание иглы, недостаточная затяжка пружины у форсунки, заклинивание плунжерной пары топливного насоса.;Поочередным выключением секций топливного насоса определить неисправный цилиндр. Выключить секцию топливного насоса неисправного цилиндра и следовать на пяти цилиндрах.
22;Дизель работает неустойчиво;Воздух в топливной системе.;Удалить воздух.
;;Наличие воздуха в масляной ванне регулятора после замены масла.;При прогретом масле в регуляторе отвернуть регулировочную иглу на два-три оборота и дать двигателю проработать неустойчиво 5-8 мин при минимальной частоте холостого хода, затем постепенно завернуть иглу, после этого дизель начнет работать устойчиво. Регулирование открытия иглы производите при хорошо прогретом дизеле.
;;Недостаточный или слишком большой уровень масла в масляной ванне РЧО.;Установить установленный по масломерному стеклу уровень масла.
