к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей в пути следования на тепловозе серии ТЭМ7А;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения
"При включении автомата ""Топливный насос I"" вал топливоподкачивающего насоса не вращается";;;
1;"Автомат ""Топливный насос I"" не включается";Сработал автомат АТН.;Включить автомат, если автомат выбивает, то проверить цепь и устранить в ней короткое замыкание, проверить автомат АТН.
2;"Автомат ""Топливный насос I"" включается";Заклинена топливная помпа или разрушена муфта ее привода;Осмотреть топливную помпу.
;;Нарушен контакт в соединениях клеммной коробки или обрыв межкатушечных соединений электродвигателя;Восстановить контакт или устранить обрыв соединений.
;;"""Заедание"" щеток в обоймах щеткодержателей, неприлегание щеток к коллектору двигателя (после постановки новых).";Осмотреть щеткодержатель.
Не срабатывает контактор КТН или нарушились цепь питания двигателя или контактора;;;
3;"При переводе тумблера ПЗП в положение ""Запуск"" маслоподкачивающий насос не работает";Нарушена цепь питания электродвигателя ЭМН.;Осмотреть цепь питания электродвигателя ЭМН на предмет термического повреждения, по возможности устранить неисправность.
4;Маслопрокачивающий насос не вращается:;Заклинены масляная помпа или неисправна муфта ее привода.;Осмотреть маслопрокачивающий насос.
5;Контактор КМН не включается;"Контроллер машиниста не установлен в ""0"" положении.";"Установить контроллер машиниста в ""0"" положение."
6;Контактор КМН включился, но маслопрокачивающий насос не работает;Перегорел предохранитель ПрБ в цепи электродвигателя.;Заменить предохранитель ПрБ.
;;Нарушен контакт силовых губок контактора КМН.;Восстановить контакт.
При пуске вал дизеля проворачивается, а запуск не производится;;;
7;Нет давления масла в лотке дизеля;Не сработал ДДМ4 (0,05МПа).;При необходимости снять пломбу с ДДМ и включить датчик принудительно.
8;Нет запуска дизеля;Срабатывает валоповоротный механизм дизеля.;Осмотреть валоповоротный механизм и состояние блокировки.
9;"Рейки топливных насосов ""не идут на подачу"" топлива";Не включен выключатель (предельный) подачи топлива.;Включить предельный выключатель.
;;Заедание плунжерной пары рейки какого-либо насоса или топливного насоса или общей тяги;"Отключить поводок, ""расходить"" рейку топливного насоса."
10;Топливоподкачивающий насос не создает давления топлива (0,15-0,25 МПа);Попадание воздуха в топливную систему.;Выпустить воздух, отвернуть пробку на фильтре тонкой очистки топлива, прокачать топливо.
11;Пусковой контактор КД включается и отпадает, нарпяжение снижается до нуля.;Нет контакта в цепи соединения аккумуляторной батареи: сильно понижена емкость батареи.;Осмотреть и при необходимости зачистить контакт.
12;После пуска дизеля нет зарядки батареи;Перегорел предохранитель ПРБ и (или) ПРА зарядки батареи.;Сменить предохранитель ПРБ или ПРА.
