к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на тепловозах серии ТЭМ14;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения
По дизелю и системам;;;
1;"При включении автомата ""Топливный насос"" вал топливоподкачивающего насоса не вращается, автомат ""Топливный насос I"" не включается";Сработал автомат 12АТН1 (12АТН2);Включить автомат, проверить автомат АТН
2;"При включении автомата ""Топливный насос"" вал топливоподкачивающего насоса не вращается, автомат ""Топливный насос I"" включается";Заклинена топливная помпа или разрушена муфта ее привода;Проверить муфту и топливный насос
;;Нарушен контакт в соединениях клеммной коробки;Восстановить контакт или устранить обрыв соединений
3;Не срабатывает контактор 12КТН1 (12КТН2);Нарушена цепь питания контактор 12КТН1 (12КТН2) или Топливного насоса;Осмотреть контактор 12КТН1 (12КТН2). Осмотреть коллектор, щетки и обмотки топливного насоса.
4;"При переводе тумблера 32ПЗП1 (32ПЗП2) в положение ""Запуск"" маслопрокачивающий насос не работает";Нарушена цепь питания электродвигателя 12ЭМН1 (12ЭМН2);Осмотреть контактор 12КТМ1 (12КТМ2). Осмотреть коллектор, щетки и обмотки маслопрокачивающего насоса
5;Маслопрокачивающий насос не вращается;Заклинены масляная помпа или неисправна муфта ее привода;Осмотреть масляную помпу и муфту ее привода
6;Контактор 12КМН1 (12КМН2) не включается;"Контроллер машиниста не установлен в ""0"" положении.";"Установить контроллер машиниста в ""0"" положение"
7;Контактор 12КМН1 (12КМН2) включился, но маслопрокачивающий насос не работает;Перегорел предохранитель 11ПрБ1 или 12ПРМ1 (12ПРМ2) в цепи электродвигателя;Заменить предохранитель
;;Нарушен контакт силовых губок контактора 12КМН1 (12КМН2);Проверить силовые губки контактора 12КМН1 (12КМН2)
;;"""Заедание"" щеток в обоймах щеткодержателей.";Проверить щетки и щеткодержатели.
8;Топливоподкачивающий насос не создает нормального давления топлива;Попадание воздуха в топливную систему;Выпустить воздух, отвернуть пробку на фильтре тонкой очистки топлива, прокачать топливо
9;После пуска дизеля нет зарядки батареи;Перегорел предохранитель 11ПРБ1 и (или) 11ПРГ1 (11ПРГ2) зарядки батареи;Сменить предохранитель.
10;После пуска дизеля и установки контроллера на первую позицию не включаются контакторы 35КВГ1 (35КВГ2).;Открыты двери ВВК, разомкнуты блокировки дверей 35БД1-35БД11;Плотно закрыть двери ВВК
;;Смотри сообщения на дисплее;Устранить неисправность переданную на Стойку Управления (СУ)
11;Колебание стрелки манометра топливоподкачивающего насоса на дисплее;Попадание воздуха в топливную систему;Открыть пробку на фильтре тонкой очистки топлива и выпустить воздух
12;Топливоподкачивающий насос не создает нормального давления;Низкая температура топлива (топливо загустело, плохо проходит через фильтры);Включить топливоподогреватель
;;"Загрязнение фильтров ""заедание"" перепускного или предохранительного клапанов";Очистить фильтры. Проверить клапаны
13;"При установке контроллера машиниста в первое положение тепловоз не трогается с места, горит сигнализация ""Сброс нагрузки"". Не включаются 35КП1-35КП8, 35КВГ1 (35КВГ2)";Отключены выключатели моторов 41Тб1-41Тб8;Включить выключатели
;;Срабатывает сигнализация обрыва тормозной магистрали;"Переключить тумблер ""сигнализации обрыва тормозной магистрали"" на вспомогательном пульте"
;;Нет разрешения на тягу от АЛСН или включено экстренное торможение от АЛСН;Включить ключ ЭПК, восстановить работу АЛСН
