к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей в пути следования на тепловозах серии ТЭМ18Д, ДМ;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения
1;Дизель не запустился.;Проверить уровень масла, положение предельного выключателя и воздушной захлопки.;
;;Не включилось КУ-17.;Проверить отключение пусковых контакторов Д-1,2.
;;Отсутствие контакта Д-2 между пр N 111-112.;Восстановить контакты либо поставить перемычки между данными проводами.
;;Отсутствие контакта КУ-17 между пр N 2780-116 (к ВГ) и 2780-104 (к БРН.).;Поставить перемычку с (+) АБ на пр N 104 или на пр N 116 катушки КУ-17, либо восстановить контакты между данными проводами.
;;Сгорели ПР на 80 А в цепи ВГ и зарядки АБ.;Заменить предохранители.
;;Сгорела катушка КУ-17.;Расклинить вручную, необходимо помнить что включение КУ-17 при включенных пусковых контакторах приведёт к сгоранию ПР на 80 А в цепи зарядки АБ. При остановке ДГУ клин убрать.
;;Проскальзывание ремней двухмашинного агрегата.;Натянуть ремни.
;;Неисправен БРН;Отключить одну. группу ТЭД и все ненужные потребители, следовать резервом в депо на АБ.
2;"При нажатии кнопки ""Пуск дизеля 1"" и включении автомата ""Управление общее"" коленчатый вал не проворачивается.";Контроллер машиниста не установлен в нулевое положение.;Установите штурвал контроллера в нулевое положение.
;;Переключатель направления не находится в среднем положении.;Поставьте переключатель направления в среднее положение.
;;Переключатель ВЦУ не включен.;Включите переключатель ВЦУ на основном пульте управления.
;;Плохой контакт у пускового тумблера.;Восстановите контакт.
;;Не сработало реле времени РВ3, РУ29 и не замкнулись их контакты в цепи катушки реле РУ5.;Проверьте срабатывание реле РВ3, РУ29.
;;Нет контакта между подводящим проводом и катушками пусковых контакторов.;Восстановите контакт.
;;При нажатии на кнопку запуска отсутствует прокачка масла.;Проверить предохранитель на 125 А. Второй слева на правой стенке ВВК.
;;Прокачка масла есть, нет проворота вала.;Проверить блокировку валопроворотного механизма (ВПУ) при неиправности блокировки поставить перемычку на клемной сборке 8Д-9Д. Проверьте положение блокировки N 367.
;;Аварийный запуск дизеля.;Произвести прокачку масла 30-35 сек, включением тумблера масянный насос (затем вернуть тумблер в исходное положение). Включить РУ 12 Принудительно включить РУ 5, после включения РУ 4 и запуска дизеля выключить РУ 5.
