к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Рекомендации локомотивной бригаде по обнаружению и устранению неисправностей на тепловозах ТЭП70;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения неисправности
Системы тепловоза;;;
1;Стрелки манометров давления топлива вибрируют на щитке приборов в дизельном помещении;Попадание воздуха в топливную систему;При работающем топливоподкачивающем насосе открыть вентиль на нагнетательной трубе и открыть пробку на фильтре тонкой очистки топлива и выпустить воздух
2;Топливный насос (на дизеле) и топливоподкачивающий (электрический) насос не создают нормального давления при низкой температуре наружного воздуха;Низкая температура топлива;Проверить работу и включение топливоподогревателя
3;Нет давления топлива;Вышел из строя топливный насос (на дизеле);"Включить тумблер ""Резервный топливный насос"""
4;Снижение уровня воды в расширительном баке;Утечка воды из системы;Немедленно снять нагрузку и остановить дизель, найти место утечки и попытаться устранить течь. Дальнейшая эксплуатация допустима после дозаправки системы до необходимого уровня
5;Недостаточное количество масла (ниже риски маслоуказателя);Утечка масла из системы;Попытаться устранить утечку масла. Долить в картер масло до необходимого уровня
6;Выход из строя одного из круга гидросистемы;Неисправность гидромашины;"1. Перекрыть воздушный краник к терморегулятору неисправного.
круга и отвернуть воздушный штуцер от этого регулятора.
2. Боковые жалюзи данного круга открыть и поставить на защелку (жалюзи открыть на полный фронт).
3. Закрыть верхние жалюзи неисправного контура (поставить этот тумблер в среднее положение).
4. Закрыть все рециркулярные лючки и лючки со стороны дизеля второго контура.
5. Смотровые люки шахт открыть и положить их, чтобы они не мешали проходу воздуха.
6. Объединить оба контура, открыв вентили 46 и 12.
7. Перевести забор воздуха ЦВС и ДВС из дизельного помещения, перед тем убрать обтирочный материал из дизельного помещения.
8. При необходимости вилкой на исправном терморегуляторе отрегулировать нужное давление в системе.
9. Перейти на аварийное возбуждение и искусственно за счет ввода сопротивлений уменьшить мощность тепловоза.
10. На таком же режиме возможно ведение поезда до станции смены локомотивных бригад."
7;Не включаются контакторы КВГ, КВВ;"Нарушены контакты блокировок защиты.
Неисправны катушки поездных контакторов КП1-КП6.";"1. Проверить состояние аппаратов защиты.
2. Отключить соответствующий поездной контактор выключателями ОМ1-ОМ6.
3. Проверить предохранитель ПР1 (250А).
4. Переставить фишку БВГ на запасную.
5. Проверить положение ТП (тормозной переключатель).
6. Проверить контакты КВВ, КВГ.
Если контакты КВВ, КВГ, РВ2, КП1-6 замкнуты, переходим на аварийное возбуждение."
Компрессор;;;
8;Не включается компрессор;"Неисправность РДК, контактов
КБ-1.";"Признаки этих неисправностей:
При давлении воздуха 7 кгс/см2 РУ-18 должно быть включено, если давление воздуха 9 кгс/см2, то РУ-18 должно быть выключено.
Управление из кабины N 1:
1. Отсоединить фишку от РДК (стоит слева от бачка воздухоосушки);
2. Поставить перемычку в ВВК на главные рейки с клеммы 7/10 на клемму 4/17.
Управление из кабины N 2:
Тоже самое, только перемычку в ВВК ставить с клеммы 7/21 на клемму 4/17. Включением автомата ""Вентиляции"" будем руководить работой компрессора."
