к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на тепловозах ТЭП70-БС;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения
Нет автоматического запуска дизеля;;;
1;Нет давления топлива.;Попадание воздуха в топливную систему.;При работающем топливоподкачивающем насосе открыть вентиль на нагнетательной трубе и пробку на фильтре тонкой очистки топлива и выпустить воздух.
2;На дисплейном модуле появляется сообщение: Нет связи с электронным регулятором дизеля.;Обрыв линии связи.;"Проверить соединение интерфейсного кабеля у блока управления ЭРД и у стойки МСУ (нижняя дверка компьютерного шкафа).
Осмотреть все штепсельные разъемы на ЭРД, разъёмы в дискретных входах (нижняя дверка компьютерного шкафа). Проверить подачу питания на блок управления и блок питания эл. регулятора дизеля по свечению светодиодов, в случае отсутствия проверить целостность предохранителей этих блоков."
;;Нет питания на ЭРД.;Проверить ключ РЦ 1 (контакт N 8). Если причина не установлена, запустить дизель вручную. При любом другом аварийном сообщении, действовать согласно создавшейся ситуации.
На дисплейном модуле появляются аварийные сообщения перед пуском дизеля;;;
3;Начало работы.;"При включении АВ6 ""Питание БУ МСУ и датчиков"" выключатель ""Управление общее"" выключен.";"Включить выключатель ""Управление общее""."
4;"Программное обеспечение загружено ""Действуй"".";"АВ6 ""Питание БУ МСУ и датчиков"" включен,
""Управление общее"" включено.";"Нажать кнопку ""Пуск Дизеля""."
5;"Включи ""Управление Общее"".";"Тумблер Вк2 ""Управление общее"" выключено. Блокировка пуска.";"Включить выключатель ""Управление общее""."
6;"Отключен АВ16 ""Пожарная сигнализация"".";"Отключен автомат ""Пожарная сигнализация"" АВ16.";"Включить автомат ""Пожарная сигнализация"" АВ16."
7;Опущено валоповоротное устройство.;Отсутствие сигнала с блокировки БВУ. Блокировка запуска.;Осмотреть фиксацию в поднятом положении и крепление валоповоротного механизма, включение блокировки стопорным болтом и отсутствия у неё обрыва проводов.
8;Пожар (Левая сторона, Правая сторона, ВВК, Тормозные резисторы).;Отсутствие сигнала с соответствующих датчиков пожарной сигнализации.;"Осмотреть дизельное помещение, ВВК, заднюю кабину и экипажную часть на предмет возгорания или задымления. При ложном срабатывании извещателей произвести сброс системы на блоке управления системы ""Гамма"" в рабочей кабине; при повторном срабатывании из-за неисправности датчиков разрешается отключение выключателей в БПУ (блок питания и управления), обязательно оставив АВ16 ""Пожарная сигнализация"" включённым, чтобы не произошла остановка дизеля."
