к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на тепловозах ЧМЭ3;;;
;;;
"N
п/п";Неисправность;Вероятная причина;Метод устранения
Пуск и остановка дизеля;;;
1;При включении АБ не включается контактор управления (АВ-220 включен).;Отсутствует контакт у АВ-220 на 6 А.;Переключить несколько раз автоматический переключатель.
;;Перегорел плавкий предохранитель минусовой цепи П100 на100 А.;Заменить предохранитель П100 на 100А.
2;"При нажатии кнопки ""Пуск дизеля"" запуск проходит нормально, после отпуска кнопки запуск прекращается (нет автоматического пуска)";Отсутствует контакт КМН2 между проводами 208 и 247.;"Удерживать кнопку КНПД1 ""Пуск дизеля"" до окончания запуска"
3;Вал дизеля вращается, но запуска нет.;Сработал предельный регулятор числа оборотов.;Привести предельный регулятор в рабочее положение.
4;Дизель запускается с трудом.;Заклинивание одной из реек ТНВД.;Проверить свободность хода реек, если не удается, отключить топливный насос.
5;"При включении автомата 220 ""Управление"" не включается контактор управления КУ.";"1. Неисправен автомат 220.
2. Нет контакта у переключателя ПСМЕ 6
3. Перегорел предохранитель П100 (100А) или плохой контакт в стойках (не горит освещение в кабине).";"1. Выключить или произвести переключение АВ-220.
2. Между верхними и нижними выводами автоматами
АВ-220 поставить перемычку из провода диаметром 0,25 мм.
3. Поставить перемычку пр. 220-209 на переключателе режимов.
4. Правый нож рубильника БА на провод 220 КУ.
5. Правый нож АБ на провод 220 на переключателе режимов.
6. Заменить плавкий предохранитель П-100 на 100 А.
7. Между силовыми КУ заложить электрощётку.
8. Устранить перекос."
6;"При включении и выключении выключателя ""Стоп"" в положение ""Пуск"" не включается блок-магнит ЭМОД.";Перегорела включающая катушка ЭМОД.;Снять крышку блок-магнита, заклинить путем утопления плунжера изолированным предметом. Дизель глушить, вынуть клин или нажатием рукоятки топливных насосов от себя до отказа.
7;"Выбивает автомат АВ220 ""Управление""";Замыкание в цепи кат. ЭМОД;Отсоединить провод от катушки ЭМОД заизолировать. Блок-магнит заклинить.
8;Не включается блок-магнит;"Плохой контакт в поворотном выключателе ""Стоп"". Нет контакта в РАВ 2.";Соединить перемычкой провода 220 и 2602. Поставить перемычку на кл. РШ4 с провода 220 и 2602.
