Нет запуска дизеля;;;
1;Стрелки манометров давления топлива вибрируют на щитке приборов в дизельном помещении;Попадание воздуха в топливную систему.;При работающем топливоподкачивающем насосе открыть вентиль на нагнетательной трубе и открыть пробку на фильтре тонкой очистки топлива и выпустить воздух.
2;Топливный насос (на дизеле) и топливоподкачивающий (электрический) насос не создают нормального давления при низкой температуре наружного воздуха.;Низкая температура топлива.;Проверить работу и включение топливоподогревателя.
3;Нет давления топлива.;Вышел из строя топливный насос (на дизеле).;"Включить тумблер ""Резервный топливный насос""."
4;Нет запуска дизеля с П.У.;Нарушено питание датчиков БУ МСУ;"1.АВ6 ""Питание БУ МСУ и датчиков"" должен
быть включен.
2.Отсоединить кабельную часть ШР14 и
подсоединить ее к ШР15.
3.На ""Блоке питания"" и ""Блоке
управления"" электронного регулятора, переключить тумблера ""Резервная работа"" и ""Резервное питание"" в положение ""Включено"".
Нажать кнопку ""Пуск дизеля"" и удерживать
ее до окончания запуска."
Неисправности в цепях управления;;;
5;"Дизель глохнет при постановке 1-ой
позиции, не набирает обороты, вибрация реек ТНВД.";Нарушено штепсельное соединение на ЭРД.;"1.Проверить штепсельные соединения на ЭРД, добиться восстановления цепи;
2.Проверить датчики оборотов коленчатого
вала дизеля."
6;Дизель медленно развивает обороты или медленный прирост мощности.;"Неисправность датчика надувочного воздуха, на дисплее датчик показывает ""0,0"".";Снять разъем коробки ДГУ Х5.
7;"На мониторе получено сообщение ""Обрыв цепи ТЭД N....""";Не включение поездного контактора.;"Осмотреть соответствующий поездной контактор, крепление силовых шин к нему;
Проверить давление в цепях управления 4, при необходимости отключить несправный ТЭД ОМ1-6. на стоянке осмотреть сам ТЭД."
8;"На мониторе получено сообщение ""Разброс по току ТЭД>50%"".";Боксование КП;"Убедиться в отсутствии боксования;
Выявить соответствующий ТЭД по окну ""ТЭД"" на ДМ (наименьшее или наибольшее показание тока);
Отключить данный ТЭД;"
9;Нет нагрузки ГГ, отсутствует сообщение на мониторе.;Нарушена система возбуждения возбудителя.;"Клавиатурой на ДМ открыть окно ""ТЭД"" ""Система возбуждения"" и определить есть или нет ток возбуждения возбудителя. Если тока возбуждения нет, то осмотреть:
силовые контакты КВВ, резисторы Rвв1,
Rвв2, контакт РЦ1 N 10, ПР 1;
Режим тяги не собрался: осмотреть КВГ, возбудитель и генератор (щетки, кольца, провода);
Если нагрузка не появилась, то перейти на
резервный полукомплект компьютера."
10;"При постановке первой позиции не собирается режим тяги
На мониторе не появляется окно ""Движение"".";Не включение контакторов.;"На ДМ зайти в окно ""Диагностика"" ""ЭВМ"" ""УСО"" ""Дискретные входы"" контроль на включение аппаратов. Произвести диагностику на включение контакторов и блокировочных устройств. Во включенном состоянии должно быть значение - 1, в выключенном - 0. При постановке 1-ой позиции система контролирует сигналы на
входе БУ-МСУ:
- УБТ (контакт замкнут) - 1
- ОМ 1 - ОМ 6 - 1
- БД 1 - БД 5 - 1
- Блокировки нагружения БН - 1
- ЭПК А - 1
- Блокировки пожаротушения БГП - 1
- Блокировки ВВК - 1
- Блокировки РУ9 - 1
- Блокировки РДТ-3 - 0
- Блокировки РДТ-1 - 0
- РУ-13 - 0
- Блокировка датчика реле давления воздуха в ТЦ при включенном ВВУ - 0
Блокирующим сигналом на включение нагрузки кроме этих являются:
- давление воздуха в ГР менее 6 Атм
- отсутствие самовозбуждения вспомогательного генератора.
- перегорание одного из предохранителей
ВДУ."
11;"""Зависает"" дисплейный модуль.";Нарушение в работе комплекта.;"Перейти на резервный комплект, для этого:
1. Заглушить дизель кнопкой Кн2 ""Остановка дизеля"";
2. Выключить автомат АВ6 ""Питание БУ МСУ и датчиков"";
3. Выключить автомат АВ8 ""Питание исполнительных устройств"";
4. Выключить рубильник БА;
5. Переключением тумблера на шкафу БУ-МСУ, перевести управление на резервный полукомплект;
6. Включить АВ6 и АВ8;
После включения компьютера и появления основного кадра с манометрами произвести запуск дизеля и дальнейшее управление выполнять в установленном порядке."
12;"Получение сообщения на ДМ ""Нет связи"".";Нарушено соединение в разъемах БУ-МСУ.;"Проверить АВ64, проверить разъемы на блоке питания БУ-
МСУ, в шкафу МСУ-Т посмотреть на светодиодную шкалу:
- если нет питания на МСУ-Т, светодиоды не горят;
- если мерцает светодиод БПА или БПБ - перейти на ручной пуск."
13;Не включается дисплей.;"Отсутствует питание ""Пультов дисплеев"".";"Проверить полуавтомат ""Питание пультовых дисплеев""."
14;"Нет заряда аккумуляторной батареи.
Не работает компрессор.";"Отсутствует напряжение на
РВНГ.";"Проверить автомат РВНГ. Напряжение РВНГ на всех позициях должно быть 110 (+2; -1) В;
при срабатывании автомата отсоединить штекер и подсоединить к резервному, включить автомат;
если при подсоединении к резервному РВНГ - автомат РВНГ срабатывает, выключить все потребители стартер - генератора (компрессор, электрокалорифер, автоматы мультициклонных фильтров);
проверить контактор КРН."
15;Непрекращающийся свист ЭПК.;Нет питания на РУ-9.;"Проверить показания локомотивного светофора и работу устройств безопасности.
Если не включилось РУ-9, то включить виртуальный тумблер ""Шунтировка"" ЭПК на ВВК;
Если РУ-9 включено, то перекрыть краны к ЭПК находящиеся под полами у входа в кабину управления, включить ЭПК."
;;;
