к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах ЧС2Т;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения неисправности
Крышевое оборудование;;;
1;Токоприемник поднят, происходит отключение напряжения в КС.;КЗ в цепи крышевого оборудования.;"1. Видимых признаков КЗ на крыше электровоза и в ВВК не обнаружено, не опуская токоприемника в течение 1 минуты, внимательно наблюдать за стрелкой киловольтметра, предварительно убедившись, что токоприемник поднят.
2. Опустить токоприемники и остановить поезд на благоприятном профиле.
3. Выключить разъединитель заднего токоприемника.
4. Поднять передний токоприемник.
5. Если напряжение не снимается, следовать на переднем токоприемнике.
6. Если напряжение снимается, опустить передний токоприемник, выключить его разъединитель.
7. Включить разъединитель заднего токоприемника и поднять его.
8. Если напряжение не снимается, следовать на заднем токоприемнике."
2;Токоприемник поднят, вольтметр напряжения в КС не показывает, вспомогательные машины не работают.;Неисправность силовой цепи крышевого оборудования.;В движении при скорости не более 70 км/час поднять 2-ой токоприемник, если напряжение по киловольтметру появится, следовать на исправном токоприемнике, опустив неисправный.
;;;Осмотреть 113 высоковольтный предохранитель. Неисправный 113 высоковольтный предохранитель заменить.
Силовая цепь тяговых двигателей;;;
3;С 1-ой по 3-ю позиции отсутствует ток в силовой цепи.;Обрыв силовой цепи тяговых двигателей.;"При скорости более 50км/час, набрать 21-ю позицию ПК-303 СП-соединение, аварийный переключатель N 520 поставить в положение А.
При показании токов по КА 1-2 ТЭД, собрать аварийную схему без 5-6-го ТЭД, при отсутствии токов собрать аварийную схему без 4-го ТЭД.
При показании токов по КА 5-6 ТЭД, собрать аварийную схему без 1-2-го ТЭД, при отсутствии токов собрать аварийную схему без 3-го ТЭД."
;;;"При скорости менее 50 км/час.
После остановки последовательно собрать аварийные схемы без 5-6-го, 4-го, 3-го, 1-2-го ТЭД."
4;С 1-ой позиции отключает БВ под воздействием ДР-015, с возможным срабатыванием одного или нескольких реле перегрузки тяговых двигателей РП-031, РП-032, РП-034.;КЗ в силовой цепи тяговых двигателей.;После первого срабатывания БВ под воздействием аппаратов защиты, его восстановить и внимательно наблюдая за приборами (кА 5-6 ТЭД) для определения характера неисправности (полное короткое замыкание или неполное, бьет с выдержкой времени или без выдержки), дать повторно первую тяговую позицию.
;;;"При отключении БВ с выпадением ДР-015 с выдержкой времени.
После остановки последовательно собрать аварийные схемы без 1-2-го, 3-го, 4-го, 5-6-го ТЭД."
;;КЗ в цепи 5-6 го ТЭД.;"Реверсор 4-го ТЭД поставить в нулевое положение, аварийный переключатель N 308 поставить в положение А-1, защита срабатывает.
На 046 панели - нож 64 переставить в клемму 68, а нож 63 изъять. Зафиксировать верхний вал реверсора 6-5 ТЭД в нулевом положении механической защёлкой, а переключатель N 308 перевести в положение А2 хвостовиком вверх. Переключатель N 520 противобоксовочного устройства переключить в положение ""аварийное"".
Следовать на соединениях ""С"" (четыре ТЭД) и ""СП"" (три ТЭД)."
;;КЗ в цепи 4-го ТЭД.;"Реверсор 3-го ТЭД поставить в нулевое положение, аварийный переключатель N 307 поставить в положение А-1, защита срабатывает.
На 046 панели - нож 63 переставить в клемму 67, а нож 64 изъять. Зафиксировать нижний вал реверсора 4 ТЭД в нулевом положении механической защёлкой, а переключатель N 308 перевести в
положение А1 хвостовиком вниз. Переключатель N 520 противобуксовочного устройства переключить в положение ""аварийное"".
Следовать на соединениях ""С"" (пять ТЭД) и ""СП"" (три ТЭД)."
