к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах ЧС6, ЧС200;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения неисправности
Крышевое оборудование;;;
1;Токоприемники подняты, происходит отключение напряжения в КС на ЧС6-001-010, ЧС200-004, 005, 010.;КЗ в цепи крышевого оборудования.;"Видимых или звуковых признаков КЗ на крыше электровоза и в ВВК не обнаружено, не опуская токоприемников ""ход вперед"" в течение 1 минуты, внимательно наблюдать за стрелкой киловольтметра, предварительно убедившись, что токоприемники ""ход вперед"" подняты.
Опустить токоприемники и остановить поезд на благоприятном профиле.
Выключить разъединитель токоприемников ""ход вперед"".
Поднять токоприемники ""ход назад"".
Если напряжение не снимается, следовать на токоприемниках ""ход назад"".
Если напряжение снова снимается, опустить токоприемники ""ход назад"", выключить их разъединители.
Включить разъединители токоприемников ""ход вперед"" и поднять их.
Если напряжение не снимается, следовать токоприемниках ""ход вперед"".
Если напряжение снова снимается, отсоединить кабель 006 (тонкий) подходящий к БВ обеих секций и заизолировать его."
2;Токоприемники подняты, происходит отключение напряжения в КС на ЧС6-011-029, ЧС200-003, 006-009, 011, 012.;КЗ в цепи крышевого оборудования.;"Выполнить действия согласно пункта 1.
Если напряжение снова снимается, переключателем N 1246 отключить межсекционный разъединитель 013.
На ведомой секции перекрыть краны 1014 к токоприемникам, на ведущей поднять токоприемник.
Если напряжение не снимается, следовать на ведущей секции.
Если напряжение снова снимается, опустить токоприемник, перекрыть краны 1014 к токоприемникам на ведущей секции, а на ведомой открыть краны 1014 к токоприемникам.
Поднять токоприемники и следовать на ведомой секции."
3;Токоприемники подняты, вольтметр (вольтметры) напряжения в КС не показывают, вспомогательные машины не работают.;Неисправность цепи крышевого оборудования.;"В движении при скорости не более 70 км/час поднять токоприемники ""ход назад"", опустить токоприемники ""ход вперед"", если напряжение по киловольтметру появится, следовать на исправных токоприемниках, опустив не исправные."
;;;"Осмотреть 011 высоковольтные предохранители на обеих секциях.
Заменить 011 неисправные предохранители."
Силовая цепь тяговых двигателей;;;
4;На 2-3-й позиции ПК-330 при включённом БВ нет нагрузки на тяговых двигателях одной из секций.;Неисправность (обрыв) силовой цепи.;"При отсутствии нагрузки на одной из секций разрешается следовать на одной исправной секции, при разгоне ток тяговых двигателей не должен превышать 400 - 450А.
Появление тока на 27 позиции ПК 330 означает, что произошёл обрыв ПТС или не включается 41 линейный контактор. Для следования на 6 ТД с помощью переключателя ""ход-тормоз"" выявить неисправную группу ПТС данной секции."
5;На тяговой позиции ПК-330 произошло отключение БВ на неисправной секции с сигнализацией блинкерного реле 3Н ДР-015.;Неисправность (КЗ) силовой цепи.;"На неисправной секции нож 10-11 переключателя ""ХОД-ТОРМОЗ"" 071 поставить в положение отключение тяговых двигателей. При следовании на ""С""-соединении будут работать тяговые двигатели исправной секции. После перехода на ""СП""-соединение на неисправной секции подключатся два исправных тяговых двигателей.
Если при переходе на ""СП""-соединение на неисправной секции отключиться БВ с сигнализацией блинкерного реле 3Н ДР-015, необходимо нож 10-11 переключателя ""ХОД-ТОРМОЗ"" 071 переставить в нормальное положение, а нож 10-11 переключателя ""ХОД-ТОРМОЗ"" 072 поставить в положение отключение тяговых двигателей."
6;Не включаются БВ на обеих секциях.;Неисправность цепи управления БВ.;"Произвести сброс позиций в 0, убедиться в положении ПК-303 в 0 положении.
Проверить цепь питания 300 АЗВ выключить и снова включить 300 АЗВ, набрать 1-2 позиции ПК-330.
Проверить цепь питания 810 АЗВ выключить и снова включить 810 АЗВ, по положению сигнализатора отопления поезда (горизонтальное).
Проверить цепь питания 462 АЗВ:
а) выключить и снова включить 462 АЗВ, при включении обогрева масла в картере компрессора на АБ идёт падение напряжения (по вольтметру).
б) положение рукояток ""СТОП"" 1203 и 1204, кнопок отключение БВ 1201 и 1202 (в обеих кабинах) - визуально.
в) цепи питания 300 АЗВ - идёт набор позиций ПК330.
г) цепи питания 810 АЗВ - сигнализатор отопления поезда в горизонтальном положении.
Проверить наличие воздуха в цепях управления.
Проверить положение крана 1017."
7;После отключения БВ на данной секции - БВ не восстанавливается.;"Неисправности в схеме управления электровозом из-за обрыва цепи питания 323 реле ""0"" тока.";"Проверить включение 323 реле ""0"" тока на данной секции.
Проверить секвенцию на электровозе для установки надежного контакта в низковольтных блокировках линейных контакторов в цепи 323 реле ""0"" тока.
Проверить контакты в низковольтных блокировках линейных контакторов в цепи 323 реле ""0"" тока."
Силовая цепь вспомогательных машин;;;
8;Срабатывает БВ на одной из секций с выпадением ДР-201.;КЗ в цепи вспомогательных машин.;Следовать на исправной секции, аварийный переключатель АБ N 578 перевести на неисправную секцию.
;;;Выключатели мотор-компрессоров, мотор-вентиляторов, отопления рабочей и нерабочей кабины выключить.
;;;Последовательно включать вспомогательные машины с целью определения неисправной цепи.
;;КЗ в 1-ом МК.;Следовать на 2-ом МК.
