к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах ЧС7;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения
"На электровозах ЧС7 серии Е5 - Е7 в каждой секции установлены устройства ""ПУМ-Шкода"" для быстрого контроля основных цепей управления.
На панели управления блока диагностики расположены следующие аппараты:
А8 - главный переключатель для ввода в действие блока и выбора проверяемой цепи;
А1-А7 - переключатели для подключения проверяемой цепи к блоку диагностики:
А1 - цепь БВ;
А2 - цепь линейных контакторов;
А3 - цепь вспомогательных машин;
А4 - цепь сигнализации;
А5 - цепь набора позиций;
А6 - цепь сброса позиций и реостатных контакторов;
А7 - цепь ЭДТ;
Амперметр (А1А7) необходим для определения тока аппаратами проверяемой цепи;
АЗВ ""Р"" (10 А) - предохраняет цепи управления блока диагностики от КЗ;
L1-L7 - контрольные лампы красного цвета, сигнализирующие при включении выключателей А1-А7 о выбраной для контроля проверяемой цепи;
Z1-Z18 - контрольные лампы синего цвета, сигнализирующие о том, что в точках контроля выбранной цепи есть напряжение;
Y1-Y18 - контрольные лампы желтого цвета, сигнализирующие о включении соответствующих выключателей Р1-Р18;
Р1-Р18 - выключатели контроля, шунтирующие разомкнутые или неисправные контакты в цепи.
Для проверки цепей блоками диагностики необходимо затормозить электровоз, отключить ВУ-301 и БВ-021, включить заземлители, перекрыть разобщительные краны к клапанам токоприемников, проверяемую цепь отключить соответствующим АЗВ, на блоке диагностики включить АЗВ ""Р"" и переключателем А-8 произвести выбор проверяемой цепи, а переключателями А1-А7 подключить ее к блоку диагностики.
При последовательном включении определенных аппаратов в проверяемой цепи, свечение соответствующих сигнальных ламп синего цвета ""Z"" свидетельствует об исправности цепи:
- от ее начала, до провода, соединенного с загоревшейся лампой и указанного на схеме блока4
- при невключении какой-то лампы ""Z"" указывается неисправный участок цепи;
- по таблице, находящейся на кожухе блока, цепей управления определяется до каких блок-контактов или аппаратов исправна проверяемая цепь.
Неисправный участок шунтируется выключателями Р1-Р18.";;;
1;Снятие напряжения в КС.;Пробой изоляторов крышевого оборудования.;"Сразу же после подъема токоприемника:
а) выключить межсекционный разъединитель 013-1.
б) поочередно поднимаем токоприемники.
В секции с неисправным крышевым оборудованием:
- опустить токоприемник и перекрыть кран к этому токоприемнику
- перекрыть кран 1017 к БВ (на электровозах, где БВ включается без подвода сжатого воздуха - вытащить ""фишку"" из гнезда около БВ (Италия 50В,110В) и после этого вручную выключить заземлители и включить разъединители и выключить АВ-БВ-1(2) около блинкеров (Швейцария))
- заклинить реле 808 во включенном положении
в) переключатель 018-2 поставить в аварийное положение (вниз).
г) поднять токоприемник в исправной секции. Включить БВ с пульта (включится только в исправной секции). Следовать только на ""С"" и ""СП"". Напряжение на киловольтметре в неисправной секции показывать не будет."
;;КЗ на выходных шинах БВ-1.;"Сразу же после включения БВ отключилось БВ-1:
а) перекрыть краник 1017 к БВ-1(на электровозах, где БВ включается без подводки сжатого воздуха - вытащить ""фишку"" из гнезда около БВ (Италия 50В, 110В) и после этого вручную выключить заземлители и включить разъединители и выключить АВ-БВ-1(2) около блинкеров (Швейцария))
б) выключить секцию N 1 переключателем 312.
Следовать без МВ.
в) чтобы запустить МВ необходимо:
- поставить переключатель 200-1 в положение ""ВЭ"".
- если снимется напряжение в контактной сети, сразу после подъёма токоприемника поставить переключатель 200-1 в положение ""НЭ"" и следовать без МВ. В зависимости от напряжения АБ - следовать до ближайшей станции или до конечного пункта.
- если напряжение не снимается, то включить принудительно реле 400-1. МВ и оба МК будут работать."
;;КЗ на выходных шинах БВ-2.;"Сразу же после включения БВ отключилось БВ-2
- перекрыть краник 1017-2 к БВ-2 (на электровозах, где БВ включается без подводки сжатого воздуха)
- следовать на ""С"", ""СП"", ""П"" секцией N 1. Будут работать МВ и МК-1."
;;КЗ на выходных шинах БВ-1, БВ-2.;"Сразу же после включения БВ отключились оба БВ:
Посмотреть не стоит ли нож 018-2 в положении ""Авария"" (вниз)"
;;КЗ за ЛК 029-1.;Сразу же после набора 1-й позиции. Выключить секцию N 1 переключателем 312.
2;Киловольтметр в рабочей кабине не показывает напряжения в КС;Отсутствие напряжения в КС или перегорание высоковольтного предохранителя 110 головной секции.;"Включить малый компрессор задней секции на ручной пуск. Включение МК укажет на наличие напряжения в КС - сменить высоковольтный предохранитель 110 (2А).
Проверить напряжение в контактной сети по киловольтметру в задней кабине:
1. Если показывает - включить реле 808 в рабочей секции.
2. Если не показывает - выяснить наличие напряжения в контактной сети у энергодиспетчера."
3;Малое напряжения на АБ;Разряжена АБ.;"- заземлить электровоз;
- открыть дверь ВВК секции 1,2;
- убедиться в нахождении ПШ на низкой скорости (шток вышел);
- аварийные переключатели 200-1-2 перевести в положение ""ВЭ"";
- после закрытия дверей ВВК отключить заземлитель, убедиться в отключенном положении заземлителей 005-1,2 и включенном положении разъединителей 003-1,2 (по секторам);
- на пульте управления включить ВУ, переключатели токоприемников 480;
- переключатель 418 поставить в положение ""МС"";
- ручным насосом в задней секции (или передней) накачать воздух во вспомогательный резервуар токоприемника;
- нажать на шток (грибок) вентиля токоприемника задней (или передней) секции;
- появление напряжения в цепях управления от ГТУ проконтролировать по вольтметру и амперметру РЩ;
- восстановить блинкерные сигнализаторы;
- включить с пульта БВ и мотор-компрессор на секции с наличием воздуха в резервуаре токоприёмника 906;
При достижении давления воздуха в ГР 3,5 атм. включить с пульта управления БВ и МК другой секции."
Действия машиниста при срабатывании блинкерных реле;;;
4;Отключился один из БВ 021-1 (2) со срабатыванием блинкерного сигнализатора 208, 217.;Срабатывание тепловых реле 208, 217.;"Восстановить тепловые реле 208 или 217. Восстановить блинкер. При повторном срабатывании ТР 208 восстановить тепловое реле и блинкер, неисправный МК не включать. При повторном срабатывании ТР 217 восстановить тепловое реле и блинкер. Исключить из работы неисправный МВ постановкой переключателя 200-1 (2) в положение ""Авария вентилятора 1"", ""Авария вентилятора 2"". Отключить неохлаждаемую пару ТЭД переключателем ОД 071 или ОД 072."
5;Отключился один из БВ 021-1 (2) со срабатыванием блинкерного сигнализатора 025, 026.;Сработало реле перегрузки ТЭД 025 или 026.;Восстановить блинкер, включить БВ с пульта и продолжить движение, не допуская перегрузки ТЭД током свыше 800 А.
