к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах ЧС-8;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения неисправности
"Для быстрого определения неисправностей в электрических цепях управления, на электровозе установлена проверочно-универсальная машина ПУМ-""Шкода"" типа KS-11, которая дает возможность проверки шести цепей:
1-я цепь - проверка исправности цепи на реле безопасности 380, обозначенная в схеме ""К1""
2-я цепь - проверка исправности цепи включения главного выключателя, обозначенная в схеме ""К2""
3-я цепь - проверка исправности цепи управления ""Ход"" (включения линейных контакторов), обозначенная в схеме ""К3""
4-я цепь - проверка исправности цепи управления электрическим тормозом, обозначенная в схеме ""К4""
5-я цепь - проверка исправности цепи управления ""Набор позиций"", обозначенная в схеме ""К5""
6-я цепь - проверка исправности цепи управления ""Сброс позиций"", обозначенная в схеме ""К6""
Питание ПУМа производится напряжением цепей управления как из проверяемой цепи, так и через собственное АЗВ. Главный переключатель (вал) 560 имеет семь положений. Выбор проверяемой цепи производится вращением вала по часовой стрелке. Выбранная цепь подсоединяется к ПУМу посредством одного из кулачковых переключателей 561 присоединения на передней панели. Пакетник ставится из нулевого (вертикального) положения, в положение 1 ""включено"" (горизонтальное). Контакты 9-10 и 1-2 главного вала 560 включены в провод 461(462) цепи включения ГВ. Контакты кулачковых переключателей присоединения 561 S1 - S7 включены в провод 462 на управление токоприемниками. Следовательно, при пользовании ПУМ подъем токоприемников и включение ГВ с пульта управления невозможны.
Выбор цепи контроля:
Локомотивная бригада выбирает требуемую цепь контроля при помощи главного вала 560, который устанавливается в одно из шести положений. При этом загорается сигнальная лампа Л1 - Л6, согласно выбранной цепи. После этого переключатель присоединения 561 S1 - S6 выбранной цепи ставится в положение ""1"", чем подключается проверяемая цепь к ПУМу. Для правильной работы ПУМ при проверке цепей необходимо, чтобы на электровозе было достаточное давление воздуха в цепях управления электропневматическими приборами. При контроле цепей (кроме цепи проверки реле 380) необходимо на пульте управления в любой кабине переключатель 368(369) поставить в положение ""Управление"". Для проверки цепей ""К3 и К4"" кроме того реверсивную рукоятку поставить в положение движения ""Вперед"" или ""Назад"" и зарядить тормозную магистраль сжатым воздухом, а ""К5 и К6"" включить ЭПК автостопа.";;;
1;Токоприемника или опорных изоляторов токоприемника, шин.;Выявлено визуальным осмотром.;"Отключить токоприемник крышевым разъединителем, сх. N 00311; сх. N 00312."
2;Крышевого оборудования одной секции.;"Выявлено визуальным осмотром, или срабатывание блока защит сх. N 850 реле 008В; реле 009В, последующим отключением главного выключателя.";"1. Отключить секцию главным выключателем.
2. Отключить секцию крышевым разъединителем сх N 005."
3;"При сборе 1-й позиции, или в тяге отключается ГВ (главный выключатель) с выпадением блинкера:
025В1 соответствующей секции N 1, N 2";Неисправен 1 ТЭД;В шкафу силовых аппаратов (БСА-1) переключателем сх. N 071 отключить 1 ТЭД, соответствующей секции.
;026В1 соответствующей секции N 1, N 2;Неисправен 2 ТЭД;В шкафу силовых аппаратов (БСА-1) переключателем сх. N 071 отключить 2 ТЭД, соответствующей секции.
;026В2 соответствующей секции N 1, N 2;Неисправен 3 ТЭД;В шкафу силовых аппаратов (БСА-2) переключателем сх. N 071 отключить 3 ТЭД, соответствующей секции.
;025В2 соответствующей секции N 1, N 2;Неисправен 4 ТЭД;"В шкафу силовых аппаратов (БСА-2) переключателем сх. N 071 отключить 4 ТЭД, соответствующей секции.
При отключении одного и более тяговых двигателей, нельзя применять ослабление поля, допускать ток ТЭД более 1000А. также нельзя применять реостатный тормоз на неисправной секции."
4;Отключение главного выключателя (ГВ), с загоранием сигнальной лампы ВУ на сигнальной панели в кабине машиниста;Повреждение тяговой выпрямительной установки.;"Отключить главный выключатель (ГВ) и разъединителями (гибкий шунт) сх. N 035; сх. N 036 отключить неисправную выпрямительную установку."
5;Не работает двигатель вентилятора сх. N 223, сх. N 224, сх. N 222.;Перегорел предохранитель.;"1. Проверить целостность предохранителя по загоранию сигнальной лампы на УНИПУЛЬСе, для:
МВ сх. N 223 - лампа Н1, предохранитель F24
МВ сх. N 224 - лампа Н2, предохранитель F23
МВ сх. N 222 - лампа Н3, предохранитель F22
2. Сменить неисправный предохранитель."
6;Повреждение двигателя вентилятора сх. N 223 (охлаждает ТЭД, ВУ, СР, сопротивления ОП, ВУ вспомпривода и ВУ реостатного тормоза 1-ой тележки).;Неисправен мотор вентилятор сх. N 223;Перейти на работу исправной секцией.
