к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах ЭП1, ЭП1М;;;
;;;
N;Неисправность;Неисправность и признаки;Метод устранения
1;Токоприемник выходит за пределы габарита электровоза.;Излом токоприемника.;"Остановить поезд. Согласовать свои действия с энергодиспетчером, руководствуясь действующими инструкциями ОАО ""РЖД"".
Для исключения поврежденного токоприемника из работы:
отключить высоковольтный разъединитель QS1(QS2), разобщительным краном КН86 (КН87) перекрыть доступ воздуха к клапану
токоприемника У9(У10).
Поднять исправный токоприемник."
2;Снятие напряжения с контактной сети из-за срабатывания подстанционной защиты;"Пробой опорных изоляторов токоприемника.
Перекрытие изоляционных воздушных шлангов токоприемника. Поломка токоприемника. Перекрытие опорного изолятора дросселя помехоподавления.";Опустить токоприемник. Отключить неисправный токоприемник разъединителем QS1 (QS2), перекрыть доступ сжатого воздуха к клапану неисправного токоприемника разобщительным краном КН86(КН87) и продолжить движение.
3;Срабатывает РЗ;Короткое замыкание в силовой цепи.;Поочередным отключением рубильников QS-3 - QS5 и QS-4 - QS-6 (отключение плечей ВИП) выявляем неисправную группу двигателей, далее поочередным отключением QS-11 - QS-13 (отключатели двигателей) выявляем неисправный ТЭД. Далее следуем на оставшихся тяговых двигателях.
Цепи управления токоприёмниками и ГВ;;;
4;"Не поднимается токоприемник или срабатывает автоматический выключатель ""Токоприёмники""";Обрыв цепи или короткое замыкание в цепи токоприемника;"Попробовать поднять другой токоприемник. Если не помогло:
- перезапустить автомат ""Токоприемники"" SF11 (SF12);
- проверить напряжение АБ (не менее 40В) и давление в цепях управления (не менее 5 атм.);
- проверить выход блокировок штор ВВК при включенной кнопке ""Блокирование ВВК"";
- проверить давление в резервуарах токоприемников РС-9 и РС-12 по манометру в проходном коридоре (не менее 1,9 кг/см2);
- проверить состояние системы пожаротушения;
- проверить отключенное положение рубильников QS-21 (QS-22) ввода в депо.
При повторном отключении автоматов SF11 (SF12):
- кнопки на пульте управления не включать.
- заклинить KV-44.
- включить принудительно клапан Y1.
- включить принудительно клапан Y9 (Y10).
При обрыве в цепи токоприемников:
- при включенной кнопке ""Токоприёмник 1"" или ""Токоприемник 2""
- проверить включение KV44(блок N 8), если KV44 не включено проверить закрытие пультов машиниста каб.N1,2, проверить положение РШК QS21(QS22.).
- включить принудительно KV44;
- поставить обводной провод у KV44(блок N 8): (Н202 - Н235 ТП N 1); (Н202 - Н236 ТП N 2);
- закрыть ВВК;
- У1 включить принудительно (если не выходят штоки блокировок ВВК);
- поднять токоприёмник кнопкой ""Главный выключатель""."
5;"Не включается ГВ или срабатывает автоматический выключатель ""ГВ""";Обрыв цепи или короткое замыкание в цепи катушек ГВ;"Перезапустить автоматы ""Тяга"" и ""Главный выключатель"".
Проверить:
- напряжение АБ (не менее 40В) и давление в цепях управления (не менее 5 атм);
- нахождение контроллера в нулевом положении и поднятом состоянии токоприемника;
- отсутствие сообщения МСУД о запрете включения ГВ;
- включенное состояние переключателя кабин SA3 (SA4);
- в обеих кабинах проверить состояние кнопки аварийного отключения ГВ на пульте помощника машиниста;
- проверить включение реле KV21 (блок N 14), KV23 (обратная сторона блока N 4), при отсутствии подключении включить принудительно;
- давление в резервуаре главного выключателя (не менее 7кг/см2) или вакуумного выключателя (не менее 5 кг/см2);
Если все условия соблюдены, но ГВ не включается:
- заклинить KV22 (исключить срыв ЭПК после остановки);
- установить перемычку Н215 - ""земля"" (на клеммной рейке МСУД) для шунтирования РД;
- включить принудительно SA-3 (SA-4);
- отнимаем Н205 левый (клеммная рейка на расширительном баке тягового трансформатора), на оставшийся Н205 устанавливаем перемычку с провода Н400 (при включенной кнопке ""Сигнализация"");
- ГВ включаем нажатием на грибок включающей катушки ГВ.
На 12-м блоке на блокировках KV-1 устанавливаем перемычку Н451 - ""Ж"".
- БВ включаем вручную нажатием на грибок каждой включающей катушки.
После подъема токоприемника автомат ""ГВ"" и кнопки ГВ не трогаем."
Источники питания;;;
6;"На пульте сигнализации загорается индикатор ""ЗБ"".";"Перегорела плавкая вставка предохранителя F16 в цепи питания шкафа питания А25.
Перегорела плавкая вставка FЗ в шкафу питания А25.
Неисправен КМ-5";"Включаем электроплитку, если индикатор питания горит - сгорел F3, не горит - сгорел F16. Если предохранители целые - неисправен КМ-5 (12 блок). Если сгорят F1 или F2, то ""ЗБ"" гореть не будет, а на вставке обесточатся ЦУ.
F16 (35А) меняем на F21, 23-26, 43.
F3 меняем на F8, 10, 15, 38.
F1, F2 меняем на две вставки с F23, 24, 25, 26 (60А)."
7;"Отсутствует ток заряда аккумуляторной батареи. Индикатор ""ЗБ"" не горит.";"Перегорела плавкая вставка предохранителя F1 или F2 в
шкафу питания А25.";Заменить предохранитель F1 (F2).
8;При проследовании нейтральной вставки гаснут индикаторы сигнальных ламп, и опускается токоприемник.;"Перегорела плавкая вставка предохранителя F1 или F2 в
шкафу питания А25.";Заменить предохранитель F1 (F2).
