к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах серии ЭП2К;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения неисправности
1;"При включении тумблера ""Токоприемник"", токоприемник не поднимается";"Отключен АЗВ SF12 ""Токоприемник"" на БАУ";"Восстановить АЗВ SF12 ""Токоприемник"" на БАУ."
;;Давление воздуха в ЦУ токоприемника ниже 2,7 Атм;Увеличить давление вспомогательным компрессором до 4,8 Атм, после этого поднять один токоприёмник, второй токоприёмник поднять после наполнения ГР от основного компрессора АКРВ.
;;Перекрыты краны КН11 ,КН12;Открыть краны КН11,КН12
;;Не включился вентиль Y21;Принудительно включить вентиль, закрутив до упора механизм ручного включения (находится справа от заземлителя)
;;Не включается реле КЗ по причине:;
;;Нет включения реле К2:;
;;"Из-за срабатывания АЗВ SF22 ""Заземлитель"" на БАУ";"Восстановить АЗВ SF22 ""Заземлитель""."
;"При включении тумблера ""Токоприемник"", токоприемник не поднимается";Открыты щиты БСА, двери ПВИ(РВИ);Закрыть щиты БСА (торцевые) и двери ПВИ (РВИ)
;;Включен АЗВ SF5 в БВА-3;Выключить АЗВ SF5 в БВА-3
;;На БСА-2 включены ножи ввода в депо QS5, QS6;Установить ножи QS5, QS6 под углом 45°
;;"Заземлитель находится в положении ""Заземлено""";"Заземлитель перевести в положение ""Не заземлено"""
;;"Включен тумблер S41 ""Проверка цепей управления""";"Выключить тумблер S41 ""Проверка цепей управления"""
;;Неисправна катушка клапана КЭ02 пневмомодуля токоприёмника ТАСС-16-02;Закрутить до упора винт ручного дублёра клапана КЭ02 пневмомодуля токоприёмника ТАСС-16-02
;;"Отсутствует индикация ""110В"" или ""5В"" на пневмомодуле токоприёмника ТАСС-16-02";Закрутить до упора винт ручного дублёра клапана КЭ02 пневмомодуля токоприёмника ТАСС-16-02
;;Не закрыты пневматические блокировки люка на крышу и ВВК;Закрыть крышевой люк и двери ВВК до момента срабатывания пневматических блокировок
;;Наличие утечки воздуха на крыше;Отключить тумблер неисправного токоприемника. Поднять другой токоприемник
2;После подъема, токоприемник опускается;Не включение реле К12(К21);Поднять другой токоприемник
3;"При включении тумблера ""Возврат защиты"" БВ включается, но не удерживается во включенном положении";Не включается реле КЗЗ, неисправен полукомплект МПСУ;Перейти на резервный полукомплект МПСУ
4;Отключение БВ;Срабатывание диф.реле КА1;Выключить отопление поезда
;;Срабатывание диф.реле КА2, в силовой цепи ТЭД;Поочередным отключением тумблеров S2-S5 выключить неисправный ТЭД или БПТР. Далее следовать на исправных ТЭД или БПТР.
;;Срабатывание диф.реле КА3;"Определить КЗ в ПСН отключением SF1 ""ПСН1"" и SF2 ""ПСН2""
Следовать на исправном ПСН"
5;Отсутствует ток в цепи ТЭД;Обрыв в силовой цепи;Поочередным отключением тумблеров S2-S9 вывести из работы повреждённый участок.
6;Нет тока зарядки АБ, не запускается ШП (ИПБС);"Отключен включатель SA5 на ШП или тумблеры ""Пуск"", ""Питание"" на ИПБС";"Включить SA5 на ШП, тумблер ""Пуск"", ""Питание"" на ИПБС."
;;Отключен АЗВ SF4 в БВА-3;Восстановить АЗВ SF4 в БВА-3
;;Нет выходного напряжения с АИН 1 ПСН 1 (определяется по дисплейному модулю МПСУ);Отключить АЗВ ПСН 1, следовать на ПСН 2
;;"Сбой в работе ИПБС, загорание индикаторов внутри шкафа ИПБС ""Авария МВП"" или ""Авария ВЗУ""";"Отключить тумблер ""Пуск"", ""Питание"" на лицевой панели ИПБС, выждать 10 секунд и повторно его включить. Действия повторить 2 раза, если работа не восстановилась отключить ПСН 1. Если работоспособность ИПБС по схеме питания от ПСН 2 не восстановилась: включить ПСН 1 далее следовать на АБ"
7;Нет тока зарядки АБ, не запускается ШП (ИПБС);"Открыты двери ИПБС (На блоке управления и сигнализации горит светодиод ""Двери открыты"")";Плотно закрыть двери ИПБС
;;Не включен контактор КМ 105.1, КМ 103, реле К7;Отключить АЗВ SF1 ПСН 1, следовать на ПСН 2
;;"Сработал АЗВ SF24 ""Шкаф питания 110В""";"Отключить АЗВ SF1 ПСН1 и включить АЗВ SF24 ""Шкаф питания 110В"""
;;Короткое замыкание в цепи трансформаторов Т1 и Т2;Отключить АЗВ SF 10,SF 65 в БВА 3
8;Нет тока зарядки АБ, не запускается ШП (ИПБС);При запуске ШП (РИФ) отключается БВ, слабая АБ.;"Произвести запуск ПСН с выключенным тумблером S5 ""Включение ШП"" на лицевой панели ШП. После появления напряжения 380В на выходе АИН1 ПСН1 произвести включение тумблера S5 ""Включение ШП"" на лицевой панели ШП. В случае отсутствия положительного результата произвести вышеперечисленные действия при отключенном АЗВ ПСН2 и нагрузке 110В (прожектор, освещение кабин и ВВК, ходовых частей, вспомогательном компрессоре) и при снижении тока заряда АБ до 5-10А произвести включение АЗВ ПСН2 в соответствие с порядком запуска локомотива."
;;Отключен АЗВ SF16;Включить АЗВ SF16
9;Отказ ПСН-1 (ПСН-2);Отсутствует входное напряжение на одном из ВПП (определяется по дисплейному модулю МПСУ);
10;Отказ ПСН-1 (ПСН-2);Перегорание предохранителя FU1, FU3 (по их сигнализаторам);Заменить из ЗИП, если есть в наличии
;;Неисправен датчик входного напряжения ПСН;Отключить АЗВ неисправного ПСН. Следовать на исправном ПСН.
;;"Сработал АЗВ SF24 ""Шкаф питания 110В"" на БАУ";"Включить АЗВ SF24 ""Шкаф питания 110В"" на БАУ"
;;Сработал АЗВ SF1 ПСН1 или АЗВ SF2 ПСН2;Включить АЗВ SF1 ПСН1 или АЗВ SF2 ПСН2
;;Отсутствует выходное напряжение (600 В) ВПП или отключает ПСН при разгоне (определяется по дисплейному модулю МПСУ);
;;Сбой в работе ПСН;Отключить АЗВ SF1 ПСН1 (АЗВ SF2 ПСН2) неисправного ПСН на 10 секунд. Если неисправность не устранилась, действие повторить 2-3 раза. Если неисправность не устранилась, отключить АЗВ неисправного ПСН, следовать на исправном ПСН.
11;Отказ ПСН-1 (ПСН-2);Открыты двери ПСН;Плотно закрыть двери ПСН
;;Отсутствует напряжение на выходе АИН-1 (380В, 50 Гц) (определяется по дисплейному модулю МПСУ);
;;Сбой в работе АИН1;Отключить АЗВ SF1 ПСН1 (АЗВ SF2 ПСН2) неисправного ПСН на 10 секунд. Если неисправность не устранилась, действие повторить 2-3 раза. Если неисправность не устранилась, отключить АЗВ неисправного ПСН, следовать на исправном ПСН.
;;Короткое замыкание в двигателях мультициклонных фильтров ЦВС;"Для ПСН1:
на локомотивах до N 129 отключить АЗВ SF6 в БВА4,
для локомотивов свыше N 130 отключить АЗВ SF83, SF84 в БВА4.
Для ПСН2:
на локомотивах до N 129 отключить АЗВ SF8 в БВА4,
для локомотивов свыше N 130 отключить АЗВ SF85, SF86 в БВА4.
После чего на 10 секунд отключить АЗВ неисправного ПСН (для разблокирования работы ПСН)"
;;Короткое замыкание в цепи 380/220В электровоза;Отключить АЗВ SF 10,SF 65 в БВА 3
12;Отказ ПСН-1 (ПСН-2);Потеря контакта в цепи 380В от АИН1 до потребителей;Для АИН1 ПСН1 отключить АЗВ ПСН1 Для АИН1 ПСН2 продолжить следование (не будут работать калориферы, кондиционеры, М17,М18 тепловентиляторы и розетки 220В.
;;Отсутствует напряжение на выходе АИН-2;
;;Сбой в работе АИН2;Сбор схемы резервирования питания ЦВС происходит в автоматическом режиме. В случае, если сбора схемы резервирования ЦВС в автоматическом режиме не произошло, необходимо отключить АЗВ SF1 ПСН1 (АЗВ SF2 ПСН2) неисправного ПСН на 10 секунд. Если неисправность не устранилась, действие повторить 2-3 раза. Если неисправность не устранилась, отключить АЗВ неисправного ПСН, следовать на исправном ПСН.
;;"Двигатели вентиляторов ЦВС не выходят на частоту 50Гц в автоматическом режиме
Неисправен полукомплект МПСУ";Перейти на резервный полукомплект МПСУ
13;Отказ ПСН-1 (ПСН-2);Сбой в работе АИН2;Отключить АЗВ SF1 ПСН1 (АЗВ SF2 ПСН2) неисправного ПСН на 10 секунд. Если неисправность не устранилась, действие повторить 2-3 раза. Если неисправность не устранилась, отключить АЗВ неисправного ПСН, следовать на исправном ПСН.
