к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Рекомендации локомотивной бригаде по обнаружению и устранению неисправностей на электровозах ЭП10;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения
При всех неисправностях прежде всего проверить состояние АЗВ в кабинах и основном коридоре. В случае выбивания АЗВ - восстановить. При повторном срабатывании заказать вспомогательный локомотив.;;;
1;"После включения АБ, на пульте горит лампа ""ПП"" (вместо ""ЗСУ"")";Не включилось реле KV3;"Если температура воздуха выше ""-25 С"" - включить тумблер ""Авар. запуск СУ"".
Если это не помогло, поставить перемычку
Н264 - Н265 в отсеке N 1 ВВК."
2;При заправке электровоза не включается монитор.;"Выключен АЗВ ""Цепи управления"" в рабочей кабине или не включилось реле КМ70";"Убедиться, что АЗВ ""Цепи управления"" в рабочей кабине включен.
Если включен, посмотреть, работает ли монитор в задней кабине (нажав на левую верхнюю кнопку на мониторе).
а) если не работает - принудительно включить реле КМ70(отсек N 2 ВВК);
б) если работает - управлять из рабочей кабины по стрелочным приборам."
3;"При заправке электровоза на мониторе появилась надпись ""РК не выбран""";Не замкнулся электрический контакт съёмной рукоятки устройства блокировки тормозов N 367 в рабочей кабине;"Убедиться, что съёмная рукоятка устройства блокировки тормозов N 367 стоит в положении ""вниз"" и если это так, то подать ""+"" на провод Н257(Н258) (он находится на верхней рейке между пультами машиниста и помощника машиниста в рабочей кабине)"
4;"Появилось сообщение СУЭ1:307 - ""(KV30) - Цепь защиты ВВК неиспр.""";Нет электрического контакта в концевом выключателе какой-либо двери (щите) ВВК;Повесить перемычку Н074 - Н461 в отсеке N 2 ВВК
5;"Появилось сообщение СУЭ1:308 - ""(SP5) - Цепь токопр. разорвана""";Давление в трубопроводе подъёма пантографов менее 4,5 кгс/см2;"Посмотреть, открыт ли кран КН44 (короб со съёмной рукояткой).
Если открыт, то посмотреть давление воздуха по манометру МН9, если менее 5 кгс/см2, то включить вспом. компрессор или набрать воздух из ""мешка""."
6;Появилось сообщение СУЭ1:195 или СУЭ1:196 или СУЭ1:197;Неполадка переключателя Q11 (ТД 1,2);"Выключить АЗВ SF80, SF81, SF82
(выключение ТПр1)"
7;Появилось сообщение СУЭ1:198 или СУЭ1:199 или СУЭ1:200;Неполадка переключателя Q12 (ТД 3,4);"Выключить АЗВ SF83, SF84, SF85
(выключение ТПр2)"
8;Появилось сообщение СУЭ1:201 или СУЭ1:202 или СУЭ1:203;Неполадка переключателя Q13 (ТД 5,6);"Выключить АЗВ SF86, SF87, SF88
(выключение ТПр3)"
9;Не включается БВ/ГВ (без сообщений);"Правая рукоятка контроллера находится не в ""0"" или не включен тумблер ""Главный выключатель"" на пульте или выключен АЗВ ""Главный выключатель"" в рабочей кабине.";"1. Убедиться, что правая рукоятка контроллера
находится в положении ""0""
2. Убедиться, что включен тумблер ""Главный выключатель"" на пульте
3. Убедиться, что не сработал АЗВ ""Главный выключатель"" в рабочей кабине."
10;Не включается БВ и появилось сообщение СУЭ1:236;Не развернулся во включенное положение переключатель SA3(SA4) или не включилось реле KV73;"Посмотреть, горят ли какие-либо светодиоды (кроме ""С"") на блоке светодиодов:
1. Если не горят - не развернулся переключатель SA3(SA4) во включенное положение. Развернуть во включенное положение (указатель должен быть направлен в сторону нерабочей кабины).
2. Если горят - убедиться, что давление по манометрам в цепи пантографов более 2,4 кгс/см2 (слева и справа от БВ) и после этого расклинить реле KV73 во включенном положении."
11;Не включается БВ и появилось сообщение СУЭ1:229;Не включается реле KV153 или реле КМ53;В отсеке N 2 ВВК вытащить из гнезда реле KV153 и поставить вместо него реле из гнезда KV147
12;Не включается БВ и появилось сообщение СУЭ1:239;"Выключен АЗВ SF99 ""Отключение БВ"" или не замкнулась блокировка 23-24 ПРТ";"Посмотреть, не выключен ли АЗВ SF99 ""Отключение БВ"""
13;Не включается ГВ и появилось сообщение СУЭ1:238;Не развернулся во включенное положение переключатель SA3(SA4) или давление в резервуаре ГВ менее 5,8 кгс/см2 или не включилось реле KV73;"Посмотреть, горят ли какие-нибудь светодиоды (кроме ""С"") на блоке светодиодов:
1. Если не горят - не развернулся переключатель SA3(SA4) во включенное положение. Развернуть во включенное положение (указатель должен быт направлен в сторону нерабочей кабины).
2. Если горят - посмотреть давление по манометру ГВ (центр электровоза, под потолком), норма - 7,6 кгс/см2, min - 5,8 кгс/см2. Если менее - подкачать вспомогательным компрессором.
3. Если более 5,8 кгс/см2 - убедиться, что давление по манометрам в цепи пантографов более 2.4 кгс/см2 (слева и справа от БВ) и после этого расклинить реле KV73 во включенном положении."
14;Не включается ГВ и появилось сообщение СУЭ1:227;Не включается реле KV152 или реле КМ52;В отсеке N 2 ВВК вытащить из гнезда реле KV152 и поставить вместо него реле из гнезда KV147
15;"Появилось сообщение СУЭ1:260 ""(ТА5) - Сраб. датчик диф. защ. 50А""";Срабатывает дифф. Реле ТА5;"Поочередно выводить ТПр
(путем выключения АЗВ SF80 - 88)"
16;Не включаются оба МК;Выключены тумблеры S99 и S100 или не работает реле давления SP9;"Убедиться, что тумблеры S99 и S100 включены (напротив выключателей АБ).
Если включены --- включение МК осуществлять
нажатием кнопки ""Компрессор""."
17;Нет производительности у данного МК;Постоянно под питанием находится разгрузочный вентиль данного МК или механическая неисправность;"При работе данного МК посмотреть втянут ли ""грибок"" разгрузочного вентиля.
Если втянут - открутить любой провод, подходящий к вентилю."
;;;
