к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на тепловозах 2ТЭ25КМ;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения
Дизель;;;
1;"При включении виртуального тумблера ""Топливный насос"" вал топливоподкачивающего агрегата не вращается.";Перегорел предохранитель ПР-5 (вставка 25 А).;Необходимо заменить плавкую вставку 25 А.
;;Неисправен электродвигатель. Заклинило топливную помпу. Разрушение упругого элемента соединительной муфты.;Запустить дизель без предварительной прокачки топлива.
2;При включении топливоподкачивающего агрегата отсутствует давление топлива или давление топлива нестабильное (менее 1 кгс/см2).;Попадание воздуха в топливную систему.;При работающем топливоподкачивающем насосе открыть вентиль стравливания воздуха из топливного коллектора дизеля до появления стабильного давления топлива. Для ускорения прокачки приоткрыть вентили продувочные на крышках фильтра тонкой очистки топлива, выпустить воздух.
3;Топливный насос дизеля и топливоподкачивающий агрегат создают повышенное давление топлива (8-10 кгс/см2);Ошибочно одновременно перекрыты краны на подогреватель топлива и байпасный кран N 26 на магистрали обратного топлива.;Открыть краны подвода и отвода топлива от подогревателя в зимнее время или байпасный кран N 26 в летнее время.
4;При пуске коленчатый вал дизеля не вращается.;Включен валоповоротный механизм.;Отключить валоповоротный механизм.
;;Неисправен концевой выключатель валоповоротного механизма.;Отремонтировать концевой выключатель
5;При пуске коленчатый вал вращается нормально, вал исполнительного механизма регулятора поворачивается на увеличение подачи топлива, но при этом рейки всех топливных насосов не передвигаются.;Заклинивание или задир плунжерной пары у одного или нескольких насосов.;Отключить неисправный ТНВД, но не более двух.
;;Не приведен в рабочее положение предельный выключатель.;Необходимо привести в рабочее положение предельный выключатель.
;;Воздушная захлопка перекрывает проход воздуха в цилиндры дизеля.;Необходимо привести механизм воздушной захлопки в рабочее положение.
6;"При нажатии кнопки ""Пуск дизеля"" маслопрокачивающий насос не работает.";Не включился контактор КМН;Необходимо визуально осмотреть контактор на предмет термического повреждения, при возможности устранить неисправность.
;;Заедание щеток в щеткодержателях электродвигателя маслопрокачивающего насоса;Устранить заедание щеток.
7;Контактор масляного насоса включился, но маслопрокачивающий насос не работает.;Перегорел предохранитель в цепи электродвигателя ПР-4 (вставка 125 А).;Необходимо заменить предохранитель ПР-4(вставка 125 А).
8;Разбирается цепь пусков, т.е. отключатся контакторы КТН и КМН;Перегорание плавкой вставки предохранителя ПР-4 цепи масляного насоса или ПР-5 в цепи топливного насоса из-за заклинивания вала насоса или КЗ.;Необходимо заменить вставку ПР-5 или ПР-4. Устранить заклинивание вала насоса. Визуально осмотреть электродвигатель на предмет термического повреждения, по возможности устранить КЗ.
9;Низкое давление масла в системе смазки.;Пониженная вязкость масла вследствие его перегрева.;Проверить работу вентиляторов и открытие жалюзи. Снизить температуру масла, переводом секции на холостой ход.
;;Пониженная вязкость масла вследствие попадания топлива или охлаждающей жидкости.;Проверить уровень масла в картере дизеля, при повышении уровня, остановить дизель, при отрицательной температуре наружного воздуха, слить охлаждающую воду.
