к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах ЭП20;;;
;;;
N;"Неисправность
(сообщение МПСУ)";Вероятная причина;Метод устранения
Во всех случаях неисправностей на локомотивах указанной серии звонить по телефону горячей линии технической поддержки сервисного центра по обслуживанию электровоза ЭП20 8-800-700-91-45 (круглосуточно);;;
1;Ввод электровоза в работу;Неисправность цепи самоудержания питания системы управления и основного оборудования.;"Неисправность твердотельного реле KV32.
Продолжить движение без функции самоудержания
Переводить переключатель SA23(SA24) только при опущенных токоприемниках.
Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ"
2;Ввод электровоза в работу;"Ошибка определения ""рабочей"" кабины.";"Система управления определила две кабины как активные.
Проверить состояние ключа SA23(SA24) и SQ1(SQ2) в другой кабине"
3;Токоприемники и разъединители;Аварийное опускание и блокирование токоприемников XA1-XA4 системой управления тягового привода (MPU);"Возможность восстановить работоспособность отсутствует.
Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ.
Вызвать вспомогательный электровоз"
4;Токоприемник аварийно опущен;Аварийное опускание XA1-XA4. ПРТ в неопределенном или не соответствующем роду тока в сети положении.;"Дальнейшее движение невозможно.
Нажать клавишу ВОЗВРАТ ЗАЩИТЫ.
Вызвать вспомогательный электровоз."
5;Токоприемник аварийно опущен;Аварийное опускание XA1-XA4. Пожар.;"Остановить электровоз.
Действовать в соответствии с инструкцией"
6;Токоприемник аварийно опущен;Аварийное опускание XA1-XA4. Сработал SF124. Выключение ГВ.;"Нажать клавишу ВОЗВРАТ ЗАЩИТЫ.
Восстановить работу автоматического выключателя SF124.
При наличии повторного срабатывания SF124 вызывать вспомогательный электровоз"
7;"Токоприемник
аварийно опущен";Аварийное опускание XA1-XA4. Сработал SF124. Выключение БВ;"Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ.
Восстановить работу автоматического выключателя SF124.
При наличии повторного срабатывания SF124
вызвать вспомогательный электровоз"
8;Токоприемник аварийно опущен;"Аварийное опускание XA1 и XA2. Сработала система ""аварийного опускания токоприемника"" (ADD).";"Аварийное отключение ГВ QF1 или БВ QF2.
Нажать клавишу ВОЗВРАТ ЗАЩИТЫ
Продолжить движение на оставшейся паре токоприемников XA3, XA4"
9;Токоприемник аварийно опущен;"Аварийное опускание XA3 и XA4. Сработала система ""аварийного опускания токоприемника"" (ADD).";"Аварийное отключение ГВ QF1 или БВ QF2.
Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
Продолжить движение на оставшейся паре токоприемников XA1, XA2"
10;Токоприемники и разъединители;Токоприемник XA1 неисправен.;"Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
Проверить кран KH17 на входе пневматического узла, Y1 находится в положении открыт;
Продолжить движение на токоприемнике XA3.
Проверить состояние автоматического выключателя SF116"
11;Токоприемники и разъединители;Токоприемник XA2 неисправен.;"Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ.
Проверить кран KH16 на входе пневматического узла Y1 находится в положении открыт;
Продолжить движение на токоприемнике XA4
Проверить состояние автоматического выключателя SF116"
12;Токоприемники и разъединители;Токоприемник XA3 неисправен.;"Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
Проверить кран KH18 на входе пневматического узла Y1 находится в положении открыт;
Продолжить движение на токоприемнике XA1
Проверить состояние автоматического выключателя SF116"
13;Токоприемники и разъединители;Токоприемник XA4 неисправен.;"Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
Проверить кран KH19 на входе пневматического узла Y1 находится в положении открыт;
Продолжить движение на токоприемнике XA2
Проверить состояние автоматического выключателя SF116"
14;Токоприемники и разъединители;Неисправность QS1.;"- Проверить наличие напряжения +110В в цепи вспомогательных контактов, состояние автоматического выключателя SF116;
- Доступно ручное управление разъединителем QS1.
- Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- Продолжить движение"
15;Токоприемники и разъединители;Неисправность QS2.;"- Проверить наличие напряжения +110В. В цепи вспомогательных контактов, состояние автоматического выключателя SF118;
- Доступно ручное управление разъединителем QS2.
- Нажать клавишу ВОССТАНОВЛЕНИЕ ЗАЩИТЫ
- Продолжить движение"
16;Токоприемники и разъединители;Сработал SF126. Потеряно управление QS1 и QS2.;"Восстановить работу автоматического выключателя SF126, в случае отрицательного результата продолжить движение без возможности дистанционного управления крышевыми разъединителями QS1 и QS2.
При необходимости предусмотрено ручное управление разъединителя"
17;ИПЦУ U5;Превышение допустимого напряжения на входе ИПЦУ.;Продолжить движение до ближайшей станции. Контролировать напряжение АБ.
18;ИПЦУ U5;Нет связи с ИПЦУ по основному каналу.;"Внимание! Необходимо убедиться, что ИПЦУ находится во включенном и работоспособном состоянии:
- проверить положение органов управления ИПЦУ
- проверить наличие или отсутствие заряда АБ по амперметру на лицевой панели ИПЦУ
- проверить наличие связи с ИПЦУ по резервному каналу по кадру ""Система управления""
- проверить по кадру ""ИПЦУ"" состояние основных модулей ИПЦУ.
В случае неисправности ИПЦУ при работе от АБ дальнейшее движение электровоза возможно до достижения напряжения в цепях управления значения 82 В."
19;ИПЦУ U5;Нет связи с ИПЦУ по резервному каналу;"Внимание! Необходимо убедиться, что ИПЦУ находится во включенном и работоспособном состоянии:
- проверить положение органов управления
ИПЦУ;
- проверить наличие или отсутствие заряда АБ по амперметру на лицевой панели ИПЦУ;
- проверить наличие связи с ИПЦУ по основному каналу по кадру ""Система управления"";
- проверить по кадру ""ИПЦУ"" состояние основных модулей ИПЦУ.
В случае неисправности ИПЦУ при работе от АБ дальнейшее движение электровоза возможно до достижения напряжения в цепях управления значения 82 В."
20;ИПЦУ U5;Отсутствие связи с датчиком температуры аккумуляторной батареи.;Продолжить движение до ближайшей станции. Контролировать напряжение АБ.
21;ИПЦУ U5;Неисправность датчика температуры аккумуляторной батареи.;Продолжить движение до ближайшей станции. Контролировать напряжение АБ.
