к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на тепловозах 2ТЭ116;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения неисправности
"Пуск дизеля
Не запускается дизель";;;
1;"При включении тумблера ""Топливный насос"" вал топливоподкачивающего агрегата не вращается.
Контактор КТН не включается.";"Сработал или не включен автомат А2 ""Топливный насос"" на высоковольтной камере.";Включите автомат, при повторном срабатывании защиты, следовать одной секцией.
;;"Реверсивная рукоятка не установлена в одно из рабочих положений, штурвал контроллера машиниста не установлен в ""0"" позицию.";"Установить реверсивную рукоятку в рабочее положение, штурвал контроллера на ""0"" позицию."
;;Нарушен контакт тумблера топливоподкачивающего насоса;"Включением и отключением попытаться восстановить контакт тумблера.
В пути следования включить соответствующий тумблер на ведомой секции."
;;"Сработал автомат А3 ""Дизель""";Включите автомат, при повторном срабатывании защиты, следовать одной секцией.
;;Перегорел предохранитель ПР-5 (125А);Сменить предохранитель
;Контактор КТН включается;"""Зависание"" щёток электродвигателя топливоподкачивающего насоса.";"Устранить ""зависание"" щёток электродвигателя топливоподкачивающего насоса."
2;Стрелки манометров давления топлива вибрируют на щитке приборов в дизельном помещении;Попадание воздуха в топливную систему;При работающем топливоподкачивающем насосе открыть вентиль на нагнетательной трубе и пробку на фильтре тонкой очистки топлива и выпустить воздух.
3;Топливный насос (на дизеле) и топливоподкачивающий насос не создают нормального давления;Низкая температура топлива;Проверить работу и включение топливоподогревателя
4;Контактор КМН включился, но маслопрокачивающий насос не работает;Перегорел предохранитель ПР-5 в цепи электродвигателя.;Заменить предохранитель ПР-5 (125А)
;;"""Зависание"" щёток электродвигателя маслопрокачивающего насоса.";"Устранить ""зависание"" щёток электродвигателя маслопрокачивающего насоса."
;Контактор КМН не включился;"Выключен или сработал автомат А1 ""Управление общее""";"Включить автомат А1 ""Управление общее"", при повторном срабатывании защиты, следовать одной секцией."
;;"Реверсивная рукоятка не установлена в одно из рабочих положений, штурвал контроллера машиниста не установлен в ""0"" позицию.";"Установить реверсивную рукоятку в рабочее положение, штурвал контроллера на ""0"" позицию."
5;Частота вращения вала дизеля по позициям не соответствует номинальной;"Возможно нарушения контакта в фишке объединенного регулятора.
Нарушение одного из замыкающих контактов контроллера в цепи управления электромагнитами МР1-МР4
Неисправность ТНВД";"Проверить крепление разъема фишки объединенного регулятора.
Проверить цепи питания контролера машиниста.
Проверить работу ТНВД при неисправном ТНВД отключить неисправный, но не более двух."
6;Пуск дизеля происходит, но по истечении 10-12с. останавливается;Отключается реле РУ-9 из-за неисправности з.к. реле РУ-9 в цепи собственной катушки.;Восстановить контакт.
;;Вышел из строя топливоподкачивающий насос дизеля;"Включить ТНА ""Аварийный топливный насос"""
7;При включении пусковых контакторов раскручивания коленвала дизеля нет.;"Неисправна АБ (или потеряна ёмкость АБ, при этом напряжение АБ падает до ""0"").";"В случае неисправности АБ на одной из секций можно запустить дизель от стартер-генератора другой секции.
Для этого:
выключить рубильник ""ВБ"" на неисправной секции;
расклинить гл.к. Д1 на обеих секциях токопроводящими предметами (например электрощётки);
запускать обычным порядком;
помогать выдвижению реек.
В случае осуществления запуска дизеля от АБ другого тепловоза, кабеля соединить с ножами
рубильника ""ВБ"": правый с правым; левый с левым."
Дизель;;;
8;Повышенная течь топлива из сливной трубки форсунки или топливного насоса;Вышел из строя топливный насос или форсунка;Отключить неисправный ТНВД.
9;Снижение уровня воды в расширительном баке;Утечка воды из системы;Немедленно снять нагрузку и остановить дизель, выяснить причину утечки при возможности устранить, при невозможности, при отрицательной температуре наружного воздуха расхолодить дизель и систему охлаждения согласно местных инструкций, следовать одной секции.
10;Неустойчивая работа дизеля на холостом ходу;Тугой ход привода к топливным насосам, заедание рейки ТНВД.;Отключить неисправный ТНВД.
11;Дизель сбрасывает нагрузку при переводе контроллера с 11 на 12 позицию контроллера машиниста.;Низкое давление масла в системе дизеля или неисправен РДМ-2;Следовать на 11 позиции контроллера машиниста.
12;Дизель идет в разнос;Попадание масла в воздушный ресивер.;Заглушить дизель кнопкой аварийной остановки, слить масло с ресивера.
13;После пуска дизеля нет заряда аккумуляторной батареи.;Перегорел предохранитель ПР-4 на 160А стартер - генератора;Заменить предохранитель
;КРН не включился (нет холостого хода);"Неисправность в цепи управления КРН:
Не отключились Д1, Д2";Отключить Д1, Д2.
;КРН включился;Включился РЗН;Снять с защёлки РЗН
;;Неисправен РН (регулятор напряжения);"Подзарядку А.Б. можно осуществить от стартер-генератора исправной секции:
расклинить гл.к. Д1 на обеих секциях токопроводящими предметами (например электрощётки)."
14;"Снимается нагрузка, загорается сигнальная лампа ""Сброс нагрузки"". Сработали термореле воды и масла.";"1.Перегрев воды охлаждения дизеля или масла.
2.Не открываются жалюзи.
3.Неисправность термореле";"Проверить работу вентиляторов и жалюзи холодильника.
Перейти на ручное управление открытия жалюзей."
;;Сработали автоматы электродвигаталей охлаждения.;"Произвести включение автоматов при отключенном автомате А4 ""Управление возбуждением"""
;;Неисправны электродвигатели охлаждения.;Проверить работу мотор-вентиляторов холодильника. При неисправности отключить соответствующий автомат и закрыть верхние жалюзи над мотор-вентилятором. Перейти на пониженные позиции.
15;Вышел из строя топливоподкачивающий агрегат;"Неисправен электродвигатель.
Заклинил топливный нанос.
Разрушение упругого элемента муфты";Отключить топливоподкачивающий агрегат неисправной секции и следовать на аварийном питании дизеля без нагрузки дизеля.
;Топливный насос (на дизеле) и топливоподкачивающий насос не создают нормального давления;Низкая температура топлива;Проверить работу и включение топливоподогревателя.
16;При работе топливоподкачивающего агрегата отсутствует давление топлива, стрелки манометров давления топлива вибрируют на щитке приборов в дизельном помещении.;Попадание воздуха в топливную систему.;При работающем топливоподкачивающем насосе открыть вентиль на нагнетательной трубе и пробку на фильтре тонкой очистки топлива и выпустить воздух.
17;Перепад по ФГО более 1,5 кгс/см2;Загрязнение фильтрующих элементов;"Перейти на низшие позиции.
При прогрессирующем перепаде работа дизеля запрещена."
18;Перепад по фильтрам Болл-Кирх более 2,0 кгс/см2 при наличии красного сектора на указателе.;Загрязнение фильтрующих элементов;"Перейти на низшие позиции.
При прогрессирующем перепаде работа дизеля запрещена."
19;Малая мощность дизеля;Неисправен блок УВВ кремниевых выпрямителей, вышел из строя БУВ.;При неисправности БУВ перейти на второй полукомплект, при не восстановлении мощности перейти на аварийное возбуждение переключив рубильник.
"Неисправности тепловоза в режиме ""Тяга/Тормоз""";;;
20;На первой позиции КМ не нагружаются обе секции.;"Неисправность в ПУ ведущей секции на участке от автомата А1 ""Управление общее"" до пальцев реверсора ""Вперёд - Назад"".
Если при наборе позиций дизель обороты не развивает сработал или не включен автомат А1 ""Управление общее""";"Включить автомат А1 ""Управление общее""."
;;Отсутствует контакт в БУ N 367;Проверить включение БУ N 367
;;"Если при наборе позиций дизель обороты развивает:
отсутствует контакт 1 - 2 пальцев КМ";"Замыкание этих пальцев проверить нажатием на кнопку маневровой работы ""КМР"""
;;"Не включен тумблер УТ ""Управление тепловозом""";"Включить тумблер УТ ""Управление тепловозом"""
;;"Не включен тумблер ТД ""Движение""";"Включить тумблер ТД ""Движение"""
;;Не включен ЭПК;"Включить ЭПК
(Включение ЭПК, тумблеров УТ, ТД проверить переводом реверсора в положение ""Назад"")"
21;На первой позиции контроллера машиниста не нагружается одна из секций.;Если РВ-3 не вкл. И Х.Х. не прерывается;"Осмотреть - АВУ, 1АТ, 2АТ, РУ2, РВД, контакты реверсора ""Вперёд"" - ""Назад""."
;;Если РВ-3 вкл. И Х.Х. прерывается;Осмотреть - з.к. РВ-3 в цепи П1 - П6, ОМ1 - ОМ6, з.к. П1 - П6 в цепи РУ5
22;"При следовании тепловоза
снизилась мощность тягового генератора, перегрев сопротивления СГП";Не включен гл.к. КВ.;Проверить гл.к. КВ.
23;"При следовании тепловоза произошел сброс нагрузки, сработало реле заземления РЗ:
При наличии ВРЗ";В силовой цепи имеется пробой на корпус.;"Произвести осмотр силовой цепи для выявления неисправности, неисправный ТЭД отключить выключателем (ОМ-1... ОМ-6).
При невозможности устранить нарушение изоляции или отключить неисправный участок цепи и при отсутствии серьёзных повреждений - отключить ВРЗ и продолжить движение."
