к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на тепловозах 2ТЭ116УД;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения неисправности
Подготовка к работе;;;
1;"Проверяем изоляцию АБ (зажимаем кнопку ""Изоляция АБ"" (напряжение на вольтметре будет соответствовать напряжению батареи) и поочередно нажмите ""V+"", ""V-"" (в этом случае стрелка должна стремится к нулю);
При проверке изоляции низковольтной цепи тумблер SA13 должен быть ВЫКЛЮЧЕН на обеих секциях, при поездной работе ВКЛЮЧЕН;
При суммарном напряжении свыше 38 V следует искать повреждение изоляции низковольтных цепей.";;При отсутствии явных признаков повреждения изоляции низковольтных цепей сделать запись в ТУ-152 о показании вольтметра, приемка данного тепловоза запрещена.
2;Нет запуска дизеля;"Не включен тумблер направления движения в положение ""Вперед"" или ""Назад"" и рукоятка задатчика позиций находится не в ""0"" положении.";"Переводим блокировку УБТ на ведущей секции в положение ВКЛЮЧЕНО;
Ручку крана усл. N 394 перевести в положение 2 (поездное);
Включить ""ключ управления"" на ПУ;
Перевести тумблер направления движения в положение ""Вперед"" или ""Назад"";
Рукоятку задатчика позиций перевести в положение ""0""."
3;После запуска дизелей не включаются компрессора.;"Неисправность блокировок дверей ВВК или не включение автомата QF10 ""Компрессор"" на обеих секциях.";"Проверить наличие закрытых дверей ВВК и включение автомата QF10 ""Компрессор"" на обеих секциях."
4;Снижение уровня воды в расширительном баке.;Утечка воды из системы.;Немедленно снять нагрузку и остановить дизель, найти место утечки и попытаться устранить течь. Дальнейшая эксплуатация допустима после дозаправки системы до необходимого уровня. При отрицательной температуре наружного воздуха расхолодить дизель и систему охлаждения. Согласно местных инструкций следовать одной секцией.
5;"Снижение мощности ДГУ, дизель работает в режиме холостого хода, снижение нагрузки до ""0"".";Проверить включение автоматов, проверить открытое положение жалюзи холодильника.;"Проверить включение автоматов:
""Обдув холодильник вода 1"" QF4;
""Обдув холодильник вода 2"" QF3;
""Обдув холодильник масло 1"" QF1;
""Обдув холодильник масло 2"" QF2;
Проверить открытое положение жалюзи
холодильника."
6;При работе топливоподкачивающего агрегата отсутствует давление топлива;Наличие воздуха в топливной системе дизеля или высокая степень вязкости дизельного топлива.;Открыть кран топливопровода в районе топливоподогревателя и выпустить воздух из топливной системы.
7;Нет связи с СУД.;Сбой в программном обеспечении системы МСУ-ТП.;Произвести перезапуск системы МСУ-ТП только при полной остановке.
8;В пути следования срабатывает РЗ (реле заземления).;"Нарушение изоляции в силовой
цепи или круговой огонь на коллекторах ТЭД или ГГ.";Произвести осмотр силовой цепи для выявления неисправности, неисправный ТЭД отключить выключателем (ОМ-1... ОМ-6). В случае выхода из строя тягового двигателя, можно ехать только с отключением одного двигателя на данной секции.
9;Сброс нагрузки.;Нет охлаждения тягового агрегата (ТЭД, ГГ).;"Проверить автомат ""Обдув агрегата тягового"" QF12. В случае выхода из строя обдува передней или задней тележки (перегорел двигатель, не включается контактор, невозможно взвести автомат или авария звезды блока УКЦ) движение этой секцией под нагрузкой ЗАПРЕЩЕНО."
10;Нет зарядки аккумуляторной батареи.;Нарушена электрическая цепь зарядки аккумуляторной батареи.;"Взвести тумблер ""Возврат защит"", в случае отсутствия реакции - перевзвести с выдержкой 5 секунд автомат ""Возбуждение"" SF10."
11;Нет возбуждения ГГ.;Отсутствует связь УТП;"Перевести тумблер на блоке возбуждения в
положение ""БР"", перед этим нужно выключить автомат ""Возбуждение""."
;;;
