к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах 2ЭС4К;;;
;;;
N;Неисправность;Вероятная причина;Метод устранения
Неисправности цепи токоприемников;;;
Примечание: При включении приводов аппаратов по монитору в каине управления проверить прохождение сигналов на включение приводов аппаратов. Если сигналы не проходят необходимо произвести перезагрузку МСУД.;;;
1;При включенных выключателях управления не поднимается токоприемник.;"Не включен автоматический выключатель SF21 ""Токоприемник"".";Включить автоматический выключатель SF21.
;;"Неисправна кнопка ""Токоприемник задний"".";Поднять передний токоприемник.
;;"Неисправна кнопка ""Токоприемник передний"".";Поднять задний токоприемник.
;;Не закрылся выпускной клапан вентиля поднимаемого токоприемника.;"Повторить цикл отключения и включения кнопки ""токоприемник задний"", ""Токоприемник передний"". При отсутствии результата поднять исправный токоприемник."
;;"Высоковольтный заземлитель в положении ""Заземлено"".";Проверить на обеих секциях положение разъединителя SQ3.
;При включенных выключателях управления не поднимается токоприемник.;Не включилось реле KV44.;"Проверить по показаниям манометра наличие давления воздуха в цепях управления (давление воздуха цепях управления не ниже 4,5 кгс/см2). При низком давлении включить вспомогательный компрессор.
По вольтметру проверить наличие напряжения цепей управления в обеих секциях, при недостаточном уровне напряжения в одной из секций (менее 90 А) включить аварийную схему АБ путем переключения рубильника SA1-SA4 на аварийной секции.
Убедится во включенном положении блокировок дверей, штор высоковольтной камеры, блокировок пульта управления и дверей преобразователя U1.
Убедится, что контакты низковольтной блокировки SQ6 замкнуты в обеих секциях. Если блокировки не замкнуты, поставить рычаг реле давления SP5 в положение зашунтировано."
2;При подъеме токоприемников снимается напряжение в контактной сети.;Неисправность в контактной сети.;Путем поочередного отключения разъединителей QS1 обеих секций и последующего подъема соответствующего токоприемника определить неисправное оборудование. Отключить его соответствующим из разъединителей и продолжить движение. При отключении токоприемника разъединителем QS1 перекрыть доступ сжатого воздуха к вентилю этого токоприемника разобщительным краном КН41. В случае повторного снятия напряжения в контактной сети путем поочередного отключения межсекционных разъединителей QS2 обеих секций и последующего подъема соответствующего токоприемника определить неисправное оборудование. Отключить его соответствующим разъединителем и продолжить движение на исправной секции.
;;Пробой опорных изоляторов токоприемника.;
;;Перекрытие изоляционных воздушных шлангов токоприемника.;
