к Перечню действий локомотивных;;;
бригад по выявлению и устранению;;;
неисправностей на локомотивах;;;
при поездной и маневровой работе;;;
;;;
Порядок действий локомотивных бригад по выявлению и устранению неисправностей на электровозах 2ЭС5К, 3ЭС5К;;;
;;;
N;Неисправность;Возможная причина;Способ устранения
1;"При включении рубильников SA2 и SA1 отсутствует напряжение в цепях управления.
При проследовании нейтральной вставки теряют питание цепи управления";Сгорела вставка предохранителя аккумуляторной батареи F1 или F2 по причине КЗ в цепях аккумуляторной батареи.;"На РЩ неисправной секции батарею отключить рубильником SA2, рубильник цепей управления SA1 перевести в положение ""Аварийно""."
2;Не поднимаются токоприемник секции 1 или токоприемник секции 2;Напряжение в ЦУ головной секции ниже 35В;"Перевести рубильник цепей управления SA1 на РЩ головной секции в положение ""Аварийно""."
;;Не вышли блокировки штор ВВК в одной секции.;"В неисправной секции шторы ВВК замкнуть ключами ФШ, ключи вставить в блокировочное устройство SQ5 и перевести его рукоятку в положение ""Реле давления зашунтировано"". Поднять токоприемник исправной секции."
;;Не правильно собрана схема резервирования (на электровозе 2ЭС5К).;В неисправной секции отключить QS6 и включить QS28 в обеих секциях. (Нормальное положение: в обеих секциях QS6 включены, QS28 отключены)
;;Не правильно собрана схема резервирования (на секциях Б, В электровоза 3ЭС5К).;В неисправной секции отключить QS6 и включить QS28 в секциях Б и В. (Нормальное положение: в обеих секциях QS6 включены, QS28 отключены)
;;Не правильно собрана схема резервирования (на секциях А, Б электровоза 3ЭС5К).;В неисправной секции отключить QS6 и включить QS28 в секции А и QS27 в секции Б. (Нормальное положение: в обеих секциях QS6 включены, QS28 в секции А и QS27 в секции Б отключены.)
;;Включен рубильник QS5.;Отключить все рубильники QS5 на блоках А11-А12
;;Отключен автомат SF21.;Проверить включение автомата SF21 (восстановить).
;;Низкое давление воздуха в ЦУ (менее 2,5 кгс/см2).;Повысить давление в ЦУ.
;;Не включены реле KV44.;Проверить включение реле KV44.
3;Не включается ГВ обеих секций;Низкое давление в резервуарах ГВ (менее 6 атм.).;Повысить давление воздуха в резервуарах ГВ вспомогательным компрессором (не менее 6 атм.)
;;Напряжение в ЦУ головной секции ниже 35В.;"Перевести рубильник цепей управления SA1 на РЩ головной секции в положение ""Аварийно""."
;;"Выключены тумблеры S61, S62, S63, ""Отключение секции"".";"Включить тумблеры S61, S62, S63, ""Отключение секции""."
;;"Отключены автоматов SF22 ""ГВ"", SF23 ""Тяга"".";"Проверить включение автоматов SF22 ""ГВ"", SF23 ""Тяга""."
;;"Не включена кнопка ""Цепи управления"".";"Включить кнопку ""Цепи управления""."
;;Не включена блокировка тормозов, не горят сигнальные лампы на пульте сигнализации.;Включить блокировку тормозов.
;;"РУ контролера машиниста в положении ""НР"", не включены реле KV21 - KV22.";"РУ контролера машиниста установить в положении ""0"", проверить включение реле KV21 - KV22."
;;Не поднят токоприемник, не включено реле KV44.;Проверить включение реле KV44.
4;Не включается ГВ одной секции;Не включается реле KV43 в неисправной секции.;Включить ГВ, нажав рукой на, 2-3 сек. на якорь KV43
;;Обрыв цепи включающей катушки ГВ QF1-УА1.;Следовать на оставшихся в работе секциях.
;;Низкое давление в резервуаре ГВ неисправной секции.;Повысить давление в ГВ вспомогательным компрессором.
;;Напряжение в ЦУ головной секции ниже 35В.;"Перевести рубильник цепей управления
SA1 на РЩ головной секции в положение ""Аварийно""."
;;Не включено реле KV44 на неисправной секции.;Проверить включение реле KV44.
5;ГВ одной секции включается и вновь отключается;Срабатывает защита ВИП U1 (КА1, или КА2, или КА3).;Отключить неисправный ВИП рубильником QS3
;;Срабатывает защита ВИП U2 (КА4, или КА5, или КА6).;Отключить неисправный ВИП рубильником QS4
;;"Срабатывает РЗ в положении контроллера ""П"" или ""0"".";Поочерёдным отключением рубильников QS7 на блоках А11, А12, найти неисправный блок. В неисправном блоке определить неисправный ТЭД отключением QS11 и QS12 (При этом рубильник QS7 должен быть включен). Если при отключенных QS11 и QS12 РЗ продолжает срабатывать, отключить рубильник QS7 и ВИП неисправного блока (рубильником QS3 или QS4). Далее следовать с учетом, оставшихся в работе ТЭД.
;;Срабатывает защита ВУВ КА8.;Отключить ВУВ ножом QS15
;ГВ одной секции включается и вновь отключается;Срабатывает РМТ.;"Отключить неисправную секцию переключателем SA5 с помощью тумблера ""Отключение секции"" (S61, или S62, или S63). Следовать с учетом оставшихся в работе секций."
;;Срабатывает защита обмотки собственных нужд КА9 из-за приваривания силовых контактов контактора одной из вспомогательных машин.;Визуально определить приварившийся контактор, разъеденить силовые контакты, отключить неисправную вспомогательную машину на ЩПР и продолжить движение на оставшейся мощности локомотива.
6;"Отключается автомат SF22 при включении на пульте кнопки ""Главный выключатель""";КЗ в цепи удерживающей катушки ГВ QF1-УА2.;"Отключить все секции переключателями SA5 с помощью тумблеров ""Отключение секции"" S61, S62, S63. Восстановить автомат SF22. Включить на пульте кнопку ""Главный выключатель"" и поочередно включая секции определить неисправную секцию и отключить её. Следовать с учетом оставшихся в работе секций."
7;Не включаются БВ QF11, QF12 одной секции.;Сгорела вставка предохранителя F37.;Заменить предохранитель. При повторном перегорании вставки F37, следовать с учетом, оставшихся в работе секций.
8;Не включаются БВ QF11, QF12 одной группы.;Неисправность цепи удерживающих или включающих катушек БВ QF11, QF12;Далее следовать с учетом оставшихся в работе ТЭД.
9;Не включается один БВ;Неисправность цепи удерживающей или включающей катушек БВ QF11, или QF12;
10;"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" не гаснет.
При переводе в зоны регулирования отпадают БВ одной секций";Неисправность цепи контакторов КМ41, КМ42.;Далее следовать с учетом оставшихся в работе ТЭД.
11;"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" не гаснет.
При переводе в зоны регулирования отпадают БВ одной группы.";Не включился один из контакторов КМ41, или КМ42.;Далее следовать с учетом оставшихся в работе ТЭД.
;;Неисправность блокировок контакторов КМ41, или КМ42.;
12;Тормозные переключатели QT1 всех секций не переводятся в режим тяги.;Отсутствует питание в проводе Э6 при переходе в режим тяга.;"Перевести тормозные переключатели QT1 в режим ""Тяга"" вручную."
13;Тормозные переключатели QT1 одной секции не переводятся в режим тяги.;Не поступает питание на провод Н36.;"Перевести тормозные переключатели QT1 в режим ""Тяга"" вручную."
14;Тормозной переключатель QT1 второй группы не переводится в режим тяги.;"Механическое заедание, обрыв цепи провода Н37 или неисправность вентиля ""тяга"".";"Перевести тормозной переключатель QT1 блока А12 в режим ""Тяга"" вручную."
15;"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" гаснет.
В зонах регулирования нет нагрузки на одной секции.";Неисправность МПК1 (МПК2) в неисправной секции;Переключиться на другой МПК
;;Сгорела вставка предохранителя F17;Заменить предохранитель. При повторном перегорании вставки F17, следовать с учетом, оставшихся в работе секций.
16;"При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" гаснет.
В зонах регулирования нет нагрузки на одной группе.";"Сгорела вставка предохранителя ""Сеть"" в блоке питания ВИП А73 или А74";"Заменить предохранитель ""сеть"" в неисправном блоке, при повторном перегорании вставки, следовать с учетом оставшихся в работе ТЭД."
17;"Не работает дисплей МСУД При постановке рукоятки управления в положение ""П"" лампа ""ВИП"" гаснет, нагрузка по амперметру ""якорь"" есть.";"Отключен автомат SF45 ""МСУД""";"Включить автомат SF45. При повторном отключении SF45, следовать далее до основного или оборотного депо, контролируя нагрузку по амперметру ""Якорь 1""."
18;Не хватает производительности компрессора (на электровозе 2ЭС5К);Отключена неисправная секция.;В неисправной секции рубильник Q6 перевести в среднее положение, и включить рубильники QS28 в обеих секциях.
19;Не хватает производительности компрессоров (на электровозе 3ЭС5К);Отключена неисправная секция (А или Б).;В неисправной секции рубильник Q6 перевести в среднее положение. На секции А включить рубильник QS28, а на секции Б рубильник QS27.
;;Отключена неисправная секция (Б или В).;В неисправной секции рубильник Q6 перевести в среднее положение, и включить рубильники QS28 в обеих секциях.
20;Не запускаются вспомогательные машины в ведомой секции.;Не включен автомат SF25.;Восстановить автомат SF25.
21;Не запускается компрессоры всех секций.;Сработали ТРТ.;Восстановить ТРТ.
;;Неисправен регулятор давления.;"Управлять работой компрессоров кнопкой S9 ""Компрессор"" на пульте машиниста."
;;"Не включен автомат SF27 ""Компрессор"".";"Востановить работу автомата SF27 ""Компрессор""."
22;Не запускается компрессор одной секции.;Сработали ТРТ КК14;Восстановить ТРТ
;;Обрыв цепи Контактора КМ14;Работать с одним компрессором (двумя компрессорами).
23;"Отключается автомат SF26 при включении кнопки ""Вентилятор 1"" на пульте машиниста.";КЗ в цепи управления МВ1.;"На ЩПР всех секций выключить тумблер S11 ""Вентилятор 1"", восстановить автомат SF26, включить кнопку ""Вентилятор 1"" на пульте управления, и если автомат отключится кнопку больше не включать. Если автомат SF26 не отключился, поочередно включая тумблеры на ЩПР S11 определить неисправную секцию. В неисправной секции тумблер S11 отключить. Далее следовать с учетом оставшихся в работе ТЭД."
24;"Отключается автомат SF26 при включении кнопки ""Вентилятор 2"" на пульте машиниста.";КЗ в цепи управления МВ2.;"На ЩПР всех секций выключить тумблер S12 ""Вентилятор 2"", восстановить автомат SF26, включить кнопку ""Вентилятор 2"" на пульте управления, и если автомат отключится кнопку больше не включать. Если автомат SF26 не отключился, поочередно включая тумблеры на ЩПР S12 определить неисправную секцию. В неисправной секции тумблер S12 отключить. Далее следовать с учетом оставшихся в работе ТЭД."
25;"Отключается автомат SF26 при включении любой из кнопок ""Вентилятор 1"" или ""Вентилятор 2"" на пульте машиниста.";КЗ в цепи управления МН.;"На ЩПР всех секций выключить тумблер S17 ""Маслонасос"", восстановить автомат SF26, включить кнопку ""Вентилятор 1"" на пульте управления:
1. Если автомат отключится, на ЩПР всех секций отключить тумблер S11 ""Вентилятор 1"". Восстановить автомат SF26, включить кнопку ""Вентилятор 1"" на пульте управления, поочередно включая тумблеры на ЩПР S11 определить неисправную секцию. В неисправной секции тумблеры S11 и S12 отключить.
2. Если автомат SF26 не отключился, поочередно включая тумблеры на ЩПР S17 ""Маслонасос"" определить неисправную секцию. В неисправной секции тумблер S17 отключить. Далее следовать с учетом оставшихся в работе секций."
26;Нет запуска МВ1 обеих секций;Неисправна цепь контакторов КМ11;Следовать с учетом оставшихся в работе ТЭД.
27;Нет запуска МВ2 обеих секций;Неисправна цепь контакторов КМ12;
28;Не запускается МВ1 в одной секции.;Сработали ТРТ КК11;Восстановить ТРТ
;;Неисправна цепь контактора КМ11 в одной секции.;Следовать далее с учетом оставшихся в работе ТЭД.
29;Не запускается МВ2 в одной секции.;Сработали ТРТ КК12;Восстановить ТРТ
;;Неисправна цепь контактора КМ12 в одной секции.;Следовать далее с учетом оставшихся в работе ТЭД.
30;Вспышка на крыше электровоза, снятие напряжения в контактной сети;Пробой опорных изоляторов, изолированных воздушных шлангов, излом токоприемника.;При изломе токоприемника действовать согласно требованию инструкции ЦТ-ЦЭ-860. Неисправный токоприемник отключить разъединителем QS1, и перекрыть разобщительный кран КН41 к клапану токоприемника.
